N,inf.F.all,inf.MT.all,inf.S.all,inf.T.all,tot.F.all,tot.MT.all,tot.S.all,tot.T.all,prev.F.all,prev.MT.all,prev.S.all,prev.T.all
1,0,0,19,1,0,0,23,177,0.8,0.02158273381294964,0,0
1,7,1,25,0,0,0,15,561,0.5434782608695652,0.5263157894736842,0.07692307692307693,0.654320987654321
1,0,0,12,13,0,1,45,347,0,0,1,0.7674418604651163
1,0,0,4,15,14,0,9,426,0.013888888888888888,0,0.6666666666666666,0.2638146167557932
1,0,0,20,29,4,4,1,102,0.07692307692307693,1,0,0.7674418604651163
1,3,0,21,304,0,7,5,9,0.5,0.5,0.8,0.08139534883720931
1,0,1,6,129,4,8,13,78,1,0,0.5546218487394958,0.9047619047619048
1,0,19,13,68,23,2,25,2,1,1,0.09090909090909091,0.8095238095238095
1,0,0,0,17,5,31,268,70,0.16666666666666666,1,0.72,0.125
1,0,3,1,1,0,183,0,141,0,0.5,0,0.4358974358974359
1,0,0,5,266,10,0,5,294,0.3333333333333333,1,0.04081632653061224,0.2583518930957684
1,16,0,6,129,0,0,19,86,0,0.5714285714285714,0.010526315789473684,0.7674418604651163
1,0,0,66,114,2,71,15,426,0.875,1,0.6666666666666666,0.3701657458563536
1,0,0,1,35,2,0,6,177,1,1,0,0.02247191011235955
1,0,0,12,68,3,4,5,8,0.5,0,0,0.6744186046511628
1,16,3,5,0,0,0,3,347,0,1,0.72,0.6744186046511628
1,0,0,2,205,34,0,0,420,0,0,1,0.125
1,3,0,13,114,0,1,0,21,0,1,1,0.6744186046511628
1,18,1,1,0,23,2,0,251,0,0,0.07017543859649122,0.3701657458563536
1,2,0,0,304,2,6,11,21,0,0.5,0.25,0.9508196721311475
1,0,0,15,114,31,0,268,8,0,1,0.5454545454545454,0
1,0,0,12,1,1,10,5,43,0,1,1,0.3617021276595745
1,6,0,5,4,0,0,268,311,1,0.68,1,0.6440677966101694
1,0,0,0,75,42,3,132,61,0,1,0.07017543859649122,0.3617021276595745
1,14,0,2,13,6,0,4,218,0,1,1,0.3701657458563536
1,7,0,3,17,0,1,19,539,0.9090909090909091,0,1,0.08139534883720931
1,0,0,0,3,0,10,4,2,0.5263157894736842,0.8333333333333334,1,0.20833333333333334
1,0,4,12,114,0,5,12,81,1,1,0.010526315789473684,0.2583518930957684
1,13,3,0,2,1,41,5,9,1,0.6666666666666666,1,0
1,3,0,2,0,2,0,228,122,0,1,0.8666666666666667,0.9508196721311475
1,0,1,0,0,17,0,0,102,0,0,0,0.6455399061032864
1,5,2,6,4,0,15,25,426,0.09090909090909091,1,0.68,0.22857142857142856
1,0,2,2,53,1,0,1,9,0,0,0,0.5
1,0,0,66,1,19,0,11,347,1,1,0.5,0.3333333333333333
1,0,5,0,7,0,0,25,89,0.6923076923076923,0,0,0.9508196721311475
1,0,0,18,58,0,0,45,141,0,0,0.6111111111111112,0.6515151515151515
1,0,0,1,75,95,0,6,0,0,0,0.25,0
1,0,5,3,129,0,0,0,177,0,0.9090909090909091,0.25,0.9508196721311475
1,2,0,18,30,8,0,28,181,0.16666666666666666,1,0,0.6440677966101694
1,0,0,0,116,11,0,6,420,1,0,0.00398406374501992,0.654320987654321
1,0,0,4,0,0,0,9,218,1,0,0,0.5573770491803278
1,0,0,6,3,4,0,4,122,0.25,0.005917159763313609,0.25,0.6744186046511628
1,0,0,9,17,1,0,25,286,0,1,0,0.5901639344262295
1,0,0,9,7,71,4,10,47,0.875,0,0.7368421052631579,0.07474226804123711
1,0,5,11,304,7,34,25,78,0.9090909090909091,0.8333333333333334,1,0.5573770491803278
1,0,1,20,0,0,4,12,43,1,0.0273224043715847,0.07692307692307693,0.4358974358974359
1,18,0,5,205,0,2,8,47,1,1,0.5,0.08139534883720931
1,8,0,0,29,5,5,1,551,1,0,0.2542372881355932,0.08139534883720931
1,2,0,7,0,1,0,0,70,0,0,1,0.3617021276595745
1,0,1,36,7,4,1,72,86,0,0.2222222222222222,0,0.1394422310756972
1,0,3,21,4,0,1,10,9,1,0,0.5555555555555556,0.030952380952380953
1,0,6,5,29,0,5,4,86,0,0,1,0.2583518930957684
1,2,1,8,7,0,15,10,2,0,0,0.75,0.02247191011235955
1,0,3,6,7,0,0,45,122,1,1,0.25,0.5901639344262295
1,0,0,1,68,1,10,9,0,0,0.19047619047619047,0.8571428571428571,0.7674418604651163
1,2,0,2,34,0,0,12,86,0.3,0.68,0.07017543859649122,0.7352941176470589
1,10,0,20,2,24,41,0,8,1,1,1,0.07474226804123711
1,13,0,2,15,18,3,5,286,1,0,0.12280701754385964,0.5
1,1,0,0,33,5,1,4,21,1,0.2,0,0.3333333333333333
1,19,0,1,17,59,2,7,251,0.19047619047619047,1,0.7272727272727273,0.2638146167557932
1,1,0,8,53,3,0,25,2,0.2857142857142857,0.9411764705882353,0.00398406374501992,0.7083333333333334
1,0,2,66,17,173,0,20,311,1,0.5,1,0
1,5,0,1,15,6,0,4,8,0.5434782608695652,0.4,0.2542372881355932,0.3701657458563536
1,0,6,5,275,0,0,1,102,0,0,0,0.7352941176470589
1,0,0,0,68,3,0,6,89,0,1,0,0.8095238095238095
1,3,1,0,35,3,5,15,70,0,1,0.5546218487394958,0.5901639344262295
1,15,0,3,2,1,0,4,2,1,0,0.88,0.1394422310756972
1,0,0,5,17,6,3,6,2,0,0.2,0,0.02247191011235955
1,1,0,0,15,0,0,23,102,1,0.02040816326530612,1,0.02247191011235955
1,0,4,1,148,49,7,52,43,0.6923076923076923,0.03571428571428571,0,0.02247191011235955
1,4,0,0,58,0,8,9,78,1,0.2857142857142857,1,0.20833333333333334
1,9,0,6,15,3,8,11,89,0.09090909090909091,0,0.15151515151515152,0.2638146167557932
1,3,1,1,2,228,196,10,89,0.68,0,0,0.2583518930957684
1,0,0,8,275,5,0,9,551,0.6129032258064516,0.6666666666666666,0.88,0.02247191011235955
1,13,0,5,67,4,3,12,426,1,0.68,0,0.08139534883720931
1,0,0,0,0,0,0,9,251,0.04081632653061224,0.8333333333333334,0,0.6744186046511628
1,0,0,20,67,1,1,25,218,0,0,1,0
1,0,0,21,304,4,41,7,426,0,1,0.2857142857142857,0.5517241379310345
1,6,0,0,4,20,3,0,294,1,0,0.04081632653061224,0.5
1,0,0,2,304,0,0,0,70,0.16666666666666666,0,0.31666666666666665,0.6515151515151515
1,1,2,1,17,0,0,119,89,1,0,0,0.7083333333333334
1,1,3,0,67,0,0,2,426,1,0,0.013888888888888888,0.6455399061032864
1,0,0,66,68,3,34,119,9,0.2222222222222222,1,0.2857142857142857,0.6455399061032864
1,0,0,3,67,0,1,0,14,1,1,0.6666666666666666,0.7083333333333334
1,0,0,5,148,24,0,132,43,1,0,0.016853932584269662,0.030952380952380953
1,6,4,5,34,8,0,10,70,0.8,0,0.010526315789473684,0.6440677966101694
1,0,13,0,15,12,0,0,426,1,0,0,0.20833333333333334
1,0,0,1,2,0,0,19,89,1,0.5714285714285714,1,0.2638146167557932
1,0,0,11,35,0,0,45,78,0,1,1,0.07142857142857142
1,4,0,0,7,4,1,20,86,0.5,0.19047619047619047,0,0.6455399061032864
1,0,0,1,58,9,9,10,81,0.8333333333333334,0.9285714285714286,0.016853932584269662,0.2583518930957684
1,0,0,0,17,5,1,4,86,0,0.9411764705882353,0.68,0.2638146167557932
1,0,2,6,114,0,0,15,251,0.9285714285714286,0.02040816326530612,0.6666666666666666,0.7083333333333334
1,5,0,5,148,14,6,3,286,0.75,1,0.6111111111111112,0.4358974358974359
1,0,5,0,34,4,0,25,9,1,0.08333333333333333,0.12280701754385964,0.08139534883720931
1,1,3,0,0,0,0,3,449,0,0.6666666666666666,0,0.654320987654321
1,4,4,0,114,4,4,1,86,1,1,1,0.3333333333333333
1,1,0,7,17,0,0,57,286,0,0.2,0,0
1,4,2,1,192,6,1,57,286,0,0,0.25,1
1,4,0,0,58,1,8,19,8,0.4,0,0,0.7352941176470589
1,0,0,1,205,71,1,3,86,1,1,0.07692307692307693,0.8807339449541285
1,0,0,7,148,2,0,228,21,0.5,0.02040816326530612,0.5434782608695652,0.3701657458563536
1,0,0,21,67,34,0,268,311,0,0.03571428571428571,0.72,0.5901639344262295
1,0,1,3,129,0,0,10,294,0.6666666666666666,0.2222222222222222,0,0.7352941176470589
1,14,0,7,148,0,3,132,449,1,1,0.68,0.2638146167557932
1,0,0,0,34,0,0,11,294,0,0.42857142857142855,0,0.6515151515151515
1,0,0,11,2,7,14,1,539,0,1,0.5555555555555556,0
1,0,0,2,0,2,5,9,286,0,0.4,0.68,0.07142857142857142
1,0,0,0,72,45,1,12,141,0,0.014084507042253521,1,0.7352941176470589
1,4,5,8,17,9,1,18,86,1,0,0.7272727272727273,0.5901639344262295
1,1,0,1,72,14,1,9,141,0.2542372881355932,0,0,0
1,5,0,1,192,8,0,19,198,0,1,0.3333333333333333,0.7083333333333334
1,0,0,1,4,0,0,20,9,0.75,0.2857142857142857,0.15151515151515152,0.3333333333333333
1,2,2,0,116,6,0,13,347,0.5555555555555556,0,0.12280701754385964,0.6455399061032864
1,3,0,14,35,28,10,119,47,0,0.11764705882352941,1,0.5573770491803278
1,0,1,0,304,6,1,3,218,0,0,0.7272727272727273,0.9047619047619048
1,1,0,0,1,7,34,0,9,0.5,1,0.3,0.030952380952380953
1,0,0,2,2,0,0,15,539,0.09090909090909091,0,0.3333333333333333,0.8807339449541285
1,0,0,1,4,3,0,72,24,1,0.9285714285714286,0.2542372881355932,0.3333333333333333
1,1,1,16,53,4,0,60,144,0.4,0.875,0.75,0.030952380952380953
1,0,0,25,17,1,0,57,86,1,0,0,0.3333333333333333
1,0,0,17,13,119,2,0,21,0,0,0.6666666666666666,0
1,22,14,2,0,15,0,2,9,1,0.2222222222222222,0.09090909090909091,0.08139534883720931
1,5,0,3,2,4,0,15,251,0,0,1,1
1,0,3,1,275,11,1,0,144,0,0.09090909090909091,0.6666666666666666,0.7167832167832168
1,3,0,3,17,0,41,4,86,0,1,0.016853932584269662,0.7083333333333334
1,4,0,0,34,4,139,59,102,0.11764705882352941,0.25,0.31666666666666665,0.07474226804123711
1,0,0,0,17,0,0,9,198,1,0,1,0.6455399061032864
1,0,0,0,0,26,0,25,0,0.3333333333333333,0,0.88,0.654320987654321
1,1,0,0,1,0,3,6,86,0.03571428571428571,0.68,0,0.02247191011235955
1,0,0,0,266,0,15,15,9,0.04081632653061224,0,0.25,0.8807339449541285
1,2,2,2,114,2,7,268,43,0,1,0.6666666666666666,0.07142857142857142
1,17,5,3,68,1,196,10,426,0,0,1,0.1394422310756972
1,25,0,2,75,4,196,10,61,0,0,0,0.8095238095238095
1,0,0,0,4,10,0,0,78,1,0,0,0.6744186046511628
1,0,13,7,148,18,0,5,43,0.5,0,0.2857142857142857,0.9508196721311475
1,0,3,1,4,15,0,1,251,0,1,0.8571428571428571,0
1,0,2,1,304,11,8,2,14,0,0.6666666666666666,0.75,0.043227665706051875
1,0,0,6,192,268,11,1,311,0,0,0.7241379310344828,0.030952380952380953
1,0,0,3,2,0,1,0,24,1,0.2222222222222222,1,0.2583518930957684
1,4,6,0,17,2,0,60,24,1,0.2222222222222222,0,0.9047619047619048
1,2,0,12,34,0,0,12,388,1,0.42857142857142855,0,0.5517241379310345
1,2,0,8,0,0,1,268,43,0.25,0,0.15151515151515152,1
1,0,1,3,34,4,0,29,24,1,0,0.04081632653061224,0.7352941176470589
1,0,0,0,0,0,1,4,251,1,1,1,0.654320987654321
1,1,0,0,68,45,0,46,141,0.016853932584269662,1,0.7241379310344828,0.030952380952380953
1,0,1,6,192,10,0,28,551,1,0.75,0.5555555555555556,0.7352941176470589
1,0,2,0,67,6,0,5,539,0,0,0,0.4358974358974359
1,0,0,0,16,3,0,9,86,0,0,0.3,0.9508196721311475
1,0,0,9,33,0,6,9,198,1,1,0,0.07142857142857142
1,3,0,7,0,3,19,12,177,0,0.16129032258064516,0.3,0.030952380952380953
1,0,2,1,148,5,0,25,61,1,0,0.016853932584269662,0.02247191011235955
1,6,0,13,7,59,0,2,218,0,0.2,1,0.5901639344262295
1,0,0,1,0,2,31,3,311,0.2542372881355932,0.5714285714285714,0.3,0.9047619047619048
1,0,0,0,0,2,1,3,311,0.03571428571428571,1,0,0.07474226804123711
1,0,0,5,29,0,4,9,78,0.8333333333333334,0.42857142857142855,0.88,0.7674418604651163
1,0,8,20,68,1,25,4,181,0.6666666666666666,1,0.5546218487394958,0.3333333333333333
1,0,0,0,1,4,2,72,388,0.8571428571428571,1,0.15151515151515152,0.3333333333333333
1,0,0,5,34,10,0,0,86,0,1,0.68,0.07474226804123711
1,0,0,5,114,0,2,228,388,0.25,1,0.7368421052631579,0.654320987654321
1,0,0,1,13,0,12,25,8,0.3,1,0.2542372881355932,0.5517241379310345
1,0,1,2,0,0,0,0,251,0,0,0.75,0.4358974358974359
1,0,0,19,304,0,0,57,24,0.9285714285714286,0.875,0,0.5901639344262295
1,0,0,1,58,16,1,3,388,0.25,0,1,0.8807339449541285
1,0,1,8,7,1,0,4,561,0,1,1,0.3333333333333333
1,13,6,2,0,5,0,1,294,0.5714285714285714,0.16666666666666666,0,0
1,2,0,0,304,3,0,42,102,0,1,0.8571428571428571,0.7167832167832168
1,4,5,0,29,11,0,3,561,1,0.005917159763313609,0,0
1,0,0,6,192,4,0,4,181,0.6666666666666666,1,0.8666666666666667,0.3701657458563536
1,5,4,0,68,0,0,46,311,0.5434782608695652,0,0.5,0.6744186046511628
1,0,2,12,0,4,1,11,102,1,0.21951219512195122,0.6666666666666666,0.5
1,25,1,19,13,0,0,5,251,0.3333333333333333,0,0.5434782608695652,0.1394422310756972
1,0,0,10,3,29,0,7,347,0.5546218487394958,1,0.5546218487394958,0.030952380952380953
1,5,5,0,304,0,196,0,181,1,0,0,0
1,0,0,2,2,15,15,72,181,0,1,0,0.8807339449541285
1,0,0,6,4,57,0,10,251,0,0.0273224043715847,0,0.7674418604651163
1,0,0,0,17,1,6,11,198,1,0.005917159763313609,0.72,1
1,3,0,0,0,0,0,25,8,1,1,0,0.7352941176470589
1,0,0,8,75,1,1,10,561,1,0.4,0.00398406374501992,0.5901639344262295
1,1,0,0,192,14,0,45,141,0,0,0.8666666666666667,0
1,22,0,6,116,8,41,28,43,0.3,1,1,0.5901639344262295
1,18,0,0,58,0,26,10,24,1,0,0.8571428571428571,0.08139534883720931
1,0,0,36,2,0,0,25,347,0.5714285714285714,0.0273224043715847,0,0.7083333333333334
1,5,0,0,4,0,0,7,89,0.5,1,0.8571428571428571,0.5573770491803278
1,0,2,0,75,23,9,4,144,0,0,0.8,0.8807339449541285
1,6,8,1,17,1,5,0,81,1,1,0.5652173913043478,0.7352941176470589
1,0,0,6,33,14,0,57,122,0,0,0.8666666666666667,1
1,0,4,2,0,2,0,0,9,0.00398406374501992,1,0.8,0.7352941176470589
1,18,0,0,35,1,0,29,251,1,1,1,0.030952380952380953
1,0,0,1,266,2,173,25,9,1,1,0,0.07142857142857142
1,8,0,18,68,132,3,356,86,1,1,1,0.2583518930957684
1,9,0,25,29,10,3,46,86,0.5,1,1,0
1,0,0,0,17,0,0,15,70,0,1,1,0.9508196721311475
1,0,1,21,4,15,6,0,551,0,0,0,0.5
1,15,0,6,116,2,1,49,426,1,1,1,0.08139534883720931
1,0,0,1,33,3,4,119,70,0.9411764705882353,0,0.5555555555555556,0
1,2,0,12,29,4,17,9,561,0,0.2222222222222222,0.3,0.5573770491803278
1,22,4,6,58,1,0,52,294,0.2222222222222222,1,1,0.07142857142857142
1,0,4,25,205,26,0,15,8,0.6129032258064516,0,0.5,0.654320987654321
1,16,2,0,67,1,0,1,14,0.7241379310344828,1,0.875,0.9508196721311475
1,18,1,6,129,59,7,9,347,1,0.005917159763313609,1,0.6515151515151515
1,1,0,1,7,1,0,45,47,0,0.5263157894736842,0,0.2583518930957684
1,2,0,18,275,0,6,268,0,0.010526315789473684,0.2,0.2857142857142857,0.043227665706051875
1,5,0,7,3,0,0,13,294,0,1,0,0.6455399061032864
1,3,0,20,0,4,0,25,347,0,1,0.8,0.030952380952380953
1,0,0,9,58,0,0,11,539,1,1,0.6666666666666666,0.3333333333333333
1,3,0,2,3,0,3,42,47,0.5,0.68,0.010526315789473684,0.7167832167832168
1,0,0,5,33,0,169,72,78,0,1,0,0.125
1,0,5,25,1,49,0,15,551,0,0,0.25,0.1394422310756972
1,0,0,0,0,21,0,4,47,0,0,1,0.6440677966101694
1,2,0,17,0,1,24,4,89,1,0.6129032258064516,0.07017543859649122,0.3333333333333333
1,0,0,11,68,3,9,60,8,0.3,1,0.013888888888888888,0.08139534883720931
1,0,0,15,16,1,0,4,177,0,1,0.6666666666666666,0.125
1,0,0,6,29,10,196,49,181,1,0,0.75,0.7674418604651163
1,11,0,66,275,0,6,21,426,0.25,0.5,0.07017543859649122,0.02247191011235955
1,12,7,22,148,0,0,9,86,0.7368421052631579,1,0.68,0.5901639344262295
1,3,0,8,13,10,71,49,81,0.75,1,1,0.7167832167832168
1,3,0,0,266,0,0,3,8,0.11764705882352941,1,0.7272727272727273,0.5
1,2,10,1,192,10,14,0,551,0,0,0.3333333333333333,0
1,0,0,1,205,11,0,0,539,0,0,0.5652173913043478,0.9047619047619048
1,0,0,0,35,0,169,1,86,0.010526315789473684,0,1,0.2583518930957684
1,0,0,0,2,0,13,23,86,0,0,0.5,0.7167832167832168
1,18,1,2,2,72,3,23,102,0,0,0.12280701754385964,0.030952380952380953
1,0,0,7,58,1,2,57,89,0,0.02158273381294964,0.875,0
1,0,0,1,53,1,0,1,181,0.6129032258064516,0,0.07692307692307693,0.030952380952380953
1,13,0,22,58,0,0,6,420,1,0.5,0.8,0.4358974358974359
1,4,0,0,33,5,9,95,144,0,0.21951219512195122,0,0.9047619047619048
1,0,3,17,72,11,0,9,426,0.014084507042253521,0.19047619047619047,1,0.7352941176470589
1,0,0,9,33,0,0,60,181,0,0.9411764705882353,1,0.2583518930957684
1,12,3,4,17,228,0,11,9,0,0,0,0.6744186046511628
1,0,0,7,7,5,12,12,251,0.014084507042253521,1,0,1
1,0,0,36,275,71,5,4,388,0,0.5,0.8571428571428571,0.4358974358974359
1,0,18,0,304,0,31,0,86,1,0,1,0.7167832167832168
1,0,0,0,34,7,4,119,388,0.6666666666666666,0,1,0.030952380952380953
1,36,1,0,304,1,8,8,177,0,1,0,0.7674418604651163
1,1,0,0,53,0,0,23,86,0.09090909090909091,1,0,0.3701657458563536
1,0,0,0,15,1,0,13,449,1,1,0,0.654320987654321
1,0,2,16,1,25,0,4,311,1,1,0.12280701754385964,0
1,2,1,1,116,13,0,0,2,1,0.02158273381294964,0.6666666666666666,0.8095238095238095
1,0,0,1,275,31,4,0,43,0,0.16666666666666666,0.013888888888888888,0.9508196721311475
1,2,0,3,1,11,71,119,177,0,1,0.07017543859649122,0.8095238095238095
1,0,0,0,0,3,196,3,122,0.6129032258064516,0,0.016853932584269662,0.3701657458563536
1,0,0,2,192,18,0,15,449,1,0.9285714285714286,0.6666666666666666,0.654320987654321
1,0,0,0,4,42,0,0,9,1,1,1,0.08139534883720931
1,1,3,12,58,4,1,0,122,1,0,0.15151515151515152,0.7167832167832168
1,1,0,0,4,15,139,0,8,1,0,0,0.5517241379310345
1,0,0,1,2,0,1,19,86,1,1,1,0.125
1,0,7,12,67,6,0,13,86,0.875,0.5,0,0
1,2,2,0,72,7,0,0,8,0.72,0.6666666666666666,0,0.125
1,0,5,0,53,0,1,11,70,0,1,1,0.6744186046511628
1,2,0,3,275,26,0,3,449,0.16129032258064516,0.25,1,0.07474226804123711
1,1,0,0,68,5,5,20,294,0.0273224043715847,0,0.8571428571428571,0.3617021276595745
1,7,0,2,0,1,0,25,89,1,0,0.72,0.3617021276595745
1,2,2,1,33,0,173,72,8,0.5714285714285714,0.5,1,0.07142857142857142
1,0,0,0,72,0,0,60,0,0.15151515151515152,0.13333333333333333,1,0.030952380952380953
1,0,0,0,17,6,4,0,21,1,1,1,0.22857142857142856
1,2,3,1,33,14,4,52,8,0.4,1,0.31666666666666665,0.5573770491803278
1,0,0,8,192,132,0,6,177,0.5,1,1,0.3701657458563536
1,0,0,0,266,228,0,11,43,0,0.9411764705882353,0.6111111111111112,0
1,0,0,0,304,57,0,95,122,0.014084507042253521,0,1,0.6440677966101694
1,0,0,0,75,2,0,57,347,0,0.75,0.010526315789473684,0.02247191011235955
1,0,0,0,58,3,12,3,89,1,0.5,0.2542372881355932,0
1,0,0,0,15,5,2,13,70,0,0,1,0.6440677966101694
1,10,2,0,17,196,1,25,218,0,1,0.7368421052631579,0.6455399061032864
1,3,0,21,53,1,0,0,198,0.6923076923076923,0,1,0.22857142857142856
1,7,0,11,0,0,12,46,2,0,0,1,0.5573770491803278
1,0,4,66,266,0,169,0,449,0.31666666666666665,1,0.3,0.7352941176470589
1,0,0,5,4,1,139,4,561,0,0.19047619047619047,0.2542372881355932,0.6455399061032864
1,0,1,7,0,18,6,0,122,0.013888888888888888,0,0.25,0
1,0,3,0,129,60,0,10,177,1,1,0,0.7167832167832168
1,5,2,6,114,42,23,57,86,0.72,0.9411764705882353,0.7368421052631579,0.07474226804123711
1,8,0,15,29,1,0,9,561,0,1,0.3,0.4358974358974359
1,0,0,19,275,1,1,57,286,0.4,0,0.25,0.2583518930957684
1,6,0,15,114,4,6,0,426,1,0.5,0.6111111111111112,0.7674418604651163
1,0,1,0,1,0,0,8,14,0.2542372881355932,0.005917159763313609,1,0.7083333333333334
1,15,1,6,0,34,11,268,181,0.02040816326530612,0,0,0.7674418604651163
1,10,4,1,58,0,31,25,218,0.03571428571428571,0.4,1,0.07474226804123711
1,0,2,1,266,7,0,119,8,0.2857142857142857,1,0.3333333333333333,0.5517241379310345
1,0,1,36,205,0,0,119,551,0,0.08333333333333333,1,0.6455399061032864
1,2,0,0,304,0,0,4,218,0.8,1,0,0.5517241379310345
1,19,0,0,205,9,1,59,181,0.7272727272727273,0.02158273381294964,1,0.7083333333333334
1,0,0,0,2,0,0,4,420,0,0,0.6666666666666666,0.07142857142857142
1,1,1,10,114,23,3,29,388,0,1,0.12280701754385964,0.07474226804123711
1,2,1,0,116,10,1,10,347,0,1,0,0.654320987654321
1,0,0,0,0,4,0,2,2,0,1,1,0
1,18,0,2,192,0,18,0,539,1,0.6666666666666666,0.007462686567164179,0.043227665706051875
1,0,0,5,16,0,14,3,141,0,0.6129032258064516,0.07017543859649122,0.4358974358974359
1,0,0,0,7,0,9,13,426,0.010526315789473684,1,0,0.1394422310756972
1,0,0,20,53,0,0,10,141,1,1,1,0.07474226804123711
1,0,0,0,58,31,23,0,8,1,1,0,0.5573770491803278
1,0,1,2,17,8,0,0,181,1,0.02040816326530612,0,0
1,0,0,0,30,6,0,0,61,0.4,0,0.6923076923076923,0.7167832167832168
1,0,0,18,13,0,0,18,251,0.6666666666666666,0,0.5,0.5
1,0,1,5,0,29,34,95,347,0,1,0.07017543859649122,0.6744186046511628
