"Lake","Cloud_cover","Trunk","Silt","Sand","Rock","Metric_block","Macrophyte","Mean_depth","Temperature","Conductivity","DO","Turbidity","pH","TOC","TN","TP"
"Echo",10,10,84,0,7,9,58.5,52,24.6,166.3,10.18,1.56,8.25,5.67,520.91,13.1379
"Fournelle",75,41,96.9,0,3,0.1,31.5,82,24.9,62.5,8.44,0.76,6.68,5.41,311.15,9.0404
"Fournelle",80,26,95.4,0,1.2,3.2,9.6,125.5,24.5,60.7,8.94,1.58,7.38,5.42,328.25,10.2989
"Fournelle",60,57,100,0,0,0,8.5,61.5,24.6,60.7,8.78,1.33,7.61,5.37,308.87,7.4852
"Montaubois",20,NA,NA,NA,NA,NA,NA,NA,22.6,60.9,8.26,0.03,6.44,3.88,303.17,6.111
"Montaubois",20,NA,NA,NA,NA,NA,NA,NA,23.2,61.5,8.01,0.08,6.52,3.67,239.33,5.5773
"Montaubois",20,NA,NA,NA,NA,NA,NA,NA,22.8,61.7,8.17,0.02,6.64,3.7,265.55,5.0967
"Morency",5,15,88.5,0,3.6,7.8,8.5,30.5,24.8,132.7,10.38,2.38,8.5,4.49,356.75,7.5123
"Morency",2,94,42.8,0.7,16.5,41,5.9,168,24,129.3,9.53,4.32,8.16,4.3,341.93,6.8925
"Morency",3,83,24.5,0,35.5,40.5,13.5,129,23.2,128.6,9.29,0.42,8.17,4.25,355.61,8.4191
"Morency",10,31,53,3,16.5,27.5,57.3,58,22.3,126.1,9.52,0.43,8.28,4.3,355.61,6.6601
"Pin_rouge",80,5,100,0,0,0,61,32.5,21,45.5,7.7,0.39,6.74,8.27,502.67,13.6476
"Pin_rouge",40,37,69.5,9,4.5,17,23.3,56.5,20.9,45.9,8.13,0.35,6.42,8.29,460.49,13.4307
"Pin_rouge",80,20,98.8,0.7,0.5,0,9.2,26.5,20.7,45.7,8.08,0.12,7.01,8.15,408.05,8.1835
"St-Onge",30,NA,NA,NA,NA,NA,NA,NA,22.8,99.1,7.1,1.36,6.18,13.1,530.03,17.6344
"St-Onge",30,NA,NA,NA,NA,NA,NA,NA,22.3,94.4,7.64,1.45,6.55,13.3,656.57,25.7782
"Tracy",20,NA,NA,NA,NA,NA,NA,NA,23,71.1,8.31,0.08,6.45,3.31,272.39,4.822
"Tracy",20,NA,NA,NA,NA,NA,NA,NA,24.1,72.9,8.24,0.03,6.35,3.87,467.33,8.6231
"Triton",70,27,98.8,0,0,1.2,57.5,128.5,20.9,14.3,7.52,1.19,5.99,7.09,386.39,9.5666
"Triton",60,166,91.5,0,4.5,4,41,121,20.9,14.2,7.55,0.82,5.69,7.93,379.55,10.1204
