"","N","inf.A.all","inf.MT.all","inf.S.all","inf.T.all","tot.A.all","tot.MT.all","tot.S.all","tot.T.all","prev.A.all","prev.MT.all","prev.S.all","prev.T.all"
"27",1,0,1,0,13,NA,6,9,2,0,0.75,0.25,0.557377049180328
"28",1,15,0,1,0,0,71,5,89,0.909090909090909,0.5,0.543478260869565,0.735294117647059
"29",1,4,1,5,33,1,0,0,47,1,0,0,0
"30",1,0,0,13,33,0,0,251,426,0,1,1,0.030952380952381
"31",1,205,0,0,266,14,41,3,561,0.0140845070422535,1,0.554621848739496,0.59016393442623
"32",1,0,1,11,68,47,0,11,551,1,0,1,0.228571428571429
"33",1,14,0,8,30,3,8,3,420,1,0,0.25,0.557377049180328
"34",1,0,0,13,1,9,0,42,9,0.00746268656716418,1,0.8,0.674418604651163
"35",1,0,0,0,17,420,0,9,539,0,0,0,0.59016393442623
"36",1,1,0,13,304,1,0,45,426,1,0.219512195121951,0,0
"37",1,0,0,66,1,15,1,3,122,0.875,1,0.68,0.030952380952381
"38",1,2,13,1,34,3,1,1,347,0,0,1,0
"39",1,0,0,5,266,0,3,0,8,1,0,0.543478260869565,0.880733944954128
"40",1,0,0,8,15,0,0,4,0,1,0,1,0
"41",1,1,0,0,0,0,3,3,294,0.5,0,0.25,0.0747422680412371
"42",1,0,0,14,67,12,19,59,86,1,0.571428571428571,0,0.208333333333333
"43",1,0,0,7,114,4,2,25,43,0.724137931034483,0.161290322580645,0.00398406374501992,0.361702127659574
"44",1,0,0,0,75,251,0,1,2,0.833333333333333,0,1,0.361702127659574
"45",1,0,2,1,116,0,0,10,449,0.19047619047619,0.0140845070422535,0.8,0.651515151515151
"46",1,0,0,0,34,0,18,19,286,0,0,0,0
"47",1,0,1,0,7,8,0,0,181,1,0.75,0.0408163265306122,0.139442231075697
"48",1,0,3,0,114,11,1,3,81,0,1,1,0.208333333333333
"49",1,4,0,4,275,13,10,0,144,0.735294117647059,0.666666666666667,0.316666666666667,0.139442231075697
"50",1,275,0,0,53,NA,6,1,218,0.0833333333333333,1,1,0.0714285714285714
"51",1,0,3,6,34,1,0,42,86,0.767441860465116,1,1,0.80952380952381
"52",1,0,1,36,2,0,0,1,181,0.0701754385964912,1,0,0.5
"53",1,0,0,2,67,3,34,228,122,1,0,0.12280701754386,0.370165745856354
"54",1,6,0,1,72,4,0,9,21,0.0909090909090909,1,0,0.125
"55",1,2,2,0,7,29,0,1,181,0.208333333333333,1,0.0138888888888889,0.030952380952381
"56",1,0,18,0,35,122,15,1,198,0.674418604651163,0,0.666666666666667,0
"57",1,0,0,21,2,2,1,72,24,0,0.928571428571429,0.666666666666667,0
"58",1,0,0,4,0,1,0,11,311,0.5,0,0.72,0.0813953488372093
"59",1,0,0,2,75,0,10,45,47,1,1,0.88,0.651515151515151
"60",1,0,0,0,16,9,4,0,0,0.875,0,1,0.904761904761905
"61",1,0,3,0,116,17,12,1,218,0.0909090909090909,0,1,0.208333333333333
"62",1,1,4,2,58,0,1,95,14,0,0.928571428571429,0,0.030952380952381
"63",1,0,0,1,33,10,0,12,420,0.00591715976331361,1,0,0.557377049180328
"64",1,0,0,13,1,218,2,0,218,0.285714285714286,1,0.724137931034483,0.5
"65",1,0,0,8,114,3,1,1,420,0,0,1,0.64406779661017
"66",1,4,0,19,266,15,0,1,286,0,0,0.866666666666667,0.551724137931034
"67",1,0,0,5,17,0,2,11,86,0,0.285714285714286,1,0.950819672131147
"68",1,1,0,3,0,0,0,10,24,0.736842105263158,0,0.0408163265306122,0.880733944954128
"69",1,0,0,0,0,2,7,3,122,0,1,0.00398406374501992,0.59016393442623
"70",1,18,0,1,53,8,10,4,43,0.571428571428571,0.5,0.25,0.370165745856354
"71",1,2,4,1,0,551,0,12,251,0,0,0,1
"72",1,0,14,15,13,NA,0,15,81,0,1,0.736842105263158,0.0813953488372093
"73",1,22,9,13,192,3,0,57,141,0.833333333333333,1,0.333333333333333,0.645539906103286
"74",1,266,0,10,114,1,0,6,70,0.554621848739496,1,0,0.0714285714285714
"75",1,0,1,18,7,198,4,25,218,0.333333333333333,1,0.151515151515152,0.645539906103286
"76",1,0,1,0,114,0,0,29,21,0,0,0.285714285714286,0.263814616755793
"77",1,58,2,13,2,0,0,356,286,0.0408163265306122,1,1,0
"78",1,0,6,6,53,7,3,42,388,0,0.4,0,0.0813953488372093
"79",1,0,4,5,205,25,0,356,8,1,0,0.554621848739496,0.651515151515151
"80",1,NA,0,18,205,0,0,0,294,0.285714285714286,0,0.0168539325842697,0.0432276657060519
"81",1,192,1,0,116,177,34,12,347,0,0.133333333333333,1,0.361702127659574
"82",1,16,0,2,0,2,4,95,218,0.557377049180328,1,1,0.735294117647059
"83",1,0,1,1,205,0,0,0,426,1,1,1,0.125
"84",1,1,1,11,116,7,0,45,177,0.3,1,0.736842105263158,0.0432276657060519
"85",1,22,0,0,13,41,0,28,2,0.565217391304348,0.219512195121951,1,0.59016393442623
"86",1,0,7,0,58,3,0,15,47,0.880733944954128,1,0,0.435897435897436
"87",1,0,0,0,30,0,0,25,539,0.727272727272727,0.0357142857142857,0.543478260869565,0.0747422680412371
"88",1,8,4,1,266,4,2,11,102,0,0.5,0.75,0.0747422680412371
"89",1,30,2,11,7,0,4,21,14,0,0,0.611111111111111,0.125
"90",1,0,0,6,0,12,0,0,251,0.545454545454545,0,0.00746268656716418,0.263814616755793
"91",1,0,0,66,30,14,0,6,177,0.59016393442623,1,1,0.030952380952381
"92",1,30,0,0,30,347,0,4,144,1,0,0,0.551724137931034
"93",1,0,0,1,17,9,14,11,89,1,0.5,0.333333333333333,0.716783216783217
"94",1,205,1,19,1,47,1,4,43,0,0,0,0.80952380952381
"95",1,2,0,2,30,10,0,18,122,1,0,0,0
"96",1,4,3,22,16,6,0,4,198,0.316666666666667,0,1,0.64406779661017
"97",1,22,0,0,16,NA,0,4,70,0.5,1,0.0408163265306122,0.333333333333333
"98",1,1,1,0,58,10,1,5,8,0,0,0.25,0.0747422680412371
"99",1,1,0,0,34,45,0,12,2,0.880733944954128,0,1,0.767441860465116
"100",1,0,0,2,114,268,1,15,89,0.263814616755793,1,0.25,0.370165745856354
"101",1,10,0,0,34,86,1,0,14,0,1,1,0.5
"102",1,4,0,1,114,41,1,2,251,1,1,0.875,0.139442231075697
"103",1,0,0,7,15,0,16,10,449,0,1,0.0769230769230769,0.139442231075697
"104",1,0,0,0,0,NA,6,2,347,1,0.166666666666667,0.285714285714286,0.0432276657060519
"105",1,2,0,4,67,0,24,7,89,0,1,1,0.708333333333333
"106",1,4,0,0,304,0,2,57,181,1,1,0.866666666666667,0.208333333333333
"107",1,3,0,11,0,198,15,3,198,0.0909090909090909,0.4,0.666666666666667,0.5
"108",1,2,18,0,0,0,0,52,144,0,1,1,0.735294117647059
"109",1,2,0,1,1,5,3,15,551,0.117647058823529,0,1,0.708333333333333
"110",1,67,0,0,17,0,4,15,551,0.4,1,0.75,0.708333333333333
"111",1,2,0,0,3,8,0,13,198,1,0,0.8,0.0747422680412371
"112",1,68,0,0,0,0,0,0,8,0.654320987654321,0,0.666666666666667,0.125
"113",1,2,9,0,17,3,139,9,8,0.0747422680412371,1,0,0.674418604651163
"114",1,0,0,6,15,0,0,0,89,0,1,0.0909090909090909,0.674418604651163
"115",1,7,0,9,68,449,4,29,141,0.554621848739496,0,1,0.645539906103286
"116",1,0,0,19,0,7,0,6,347,1,0,0,0.950819672131147
"117",1,0,0,2,16,0,0,11,177,0.551724137931034,0.166666666666667,0.565217391304348,0.80952380952381
"118",1,0,1,2,13,1,0,72,551,0.904761904761905,0,1,0.735294117647059
"119",1,0,0,1,53,0,34,49,86,1,0.0215827338129496,0,0.361702127659574
"120",1,1,0,0,68,5,1,0,70,1,0,0.88,0.551724137931034
"121",1,10,0,0,33,1,1,4,24,0.941176470588235,0,0.727272727272727,0.654320987654321
"122",1,1,0,1,129,4,2,13,43,1,1,0.666666666666667,0.551724137931034
"123",1,10,0,2,67,0,0,9,81,0.4,0.222222222222222,0.00398406374501992,0.716783216783217
"124",1,1,4,2,2,0,0,60,86,0.0357142857142857,0.75,0.565217391304348,0.0224719101123595
"125",1,0,0,3,67,0,0,3,347,1,0.941176470588235,0.666666666666667,0.370165745856354
"126",1,0,0,1,75,12,1,8,420,0,0.666666666666667,0.555555555555556,0.333333333333333
"127",1,0,5,22,1,8,0,28,426,0.25,0.833333333333333,0.0105263157894737,0
"128",1,0,0,21,17,42,24,25,78,0,0.5,0,0.125
"129",1,25,0,0,205,28,11,49,177,0,0,0.0138888888888889,0
"130",1,0,0,0,192,1,4,9,43,0.880733944954128,1,0,0.0813953488372093
"131",1,1,4,6,3,5,0,5,9,1,0,0.3,0.228571428571429
"132",1,0,13,0,33,25,6,95,9,0,0,1,0.651515151515151
"133",1,4,0,1,53,28,0,1,311,0.950819672131147,0,1,0.735294117647059
"134",1,9,2,0,4,3,14,21,9,0,1,0.151515151515152,0.0714285714285714
"135",1,148,0,1,68,183,6,5,102,0.68,1,0.545454545454545,0
"136",1,15,0,5,30,3,19,15,122,0.166666666666667,0.0140845070422535,0.0701754385964912,0.950819672131147
"137",1,0,0,0,116,449,34,10,294,0,1,0.68,0.651515151515151
"138",1,33,0,0,3,0,15,0,251,0,0,1,0
"139",1,4,2,2,275,0,0,8,141,0.00591715976331361,0,0.555555555555556,0.263814616755793
"140",1,4,0,5,4,24,4,9,539,0,0.666666666666667,0.565217391304348,0.557377049180328
"141",1,0,0,1,33,12,0,49,9,1,1,0.543478260869565,0.645539906103286
"142",1,10,0,0,17,4,14,57,9,0.59016393442623,1,0.554621848739496,0.651515151515151
"143",1,0,0,11,0,2,4,268,347,1,1,0.565217391304348,0.0813953488372093
"144",1,0,0,0,7,3,18,45,86,0.571428571428571,0.0357142857142857,0,0.125
"145",1,5,2,2,1,3,3,95,251,1,0.00591715976331361,0.0168539325842697,0.263814616755793
"146",1,13,2,13,1,0,1,132,0,1,0,0.00398406374501992,0.5
"147",1,0,0,1,34,70,0,1,14,0.5,0,0.316666666666667,0.767441860465116
"148",1,0,0,0,72,561,0,9,551,0.724137931034483,0.612903225806452,1,0.333333333333333
"149",1,18,0,14,1,5,2,15,8,0.0105263157894737,0.75,0.692307692307692,0.654320987654321
"150",1,0,0,0,16,0,0,49,86,0.904761904761905,0.666666666666667,0.333333333333333,0.551724137931034
"151",1,0,1,10,1,5,1,9,388,0,0.0833333333333333,0,0.880733944954128
"152",1,14,0,66,7,0,0,59,43,1,0,1,0.333333333333333
"153",1,0,0,0,17,0,0,0,181,0.228571428571429,0.0215827338129496,0.25,0.125
"154",1,53,0,16,116,122,0,46,61,0.5,1,0.88,0.030952380952381
"155",1,0,0,0,148,0,1,60,144,0,1,1,0.80952380952381
"156",1,3,2,18,0,1,0,6,81,1,0.75,0.333333333333333,0.0747422680412371
"157",1,0,2,0,34,251,0,10,8,0.222222222222222,1,1,0.0747422680412371
"158",1,6,0,2,148,5,4,60,102,0.555555555555556,0,0.12280701754386,0.139442231075697
"159",1,1,0,0,2,2,0,21,47,0.222222222222222,1,0.3,0.950819672131147
"160",1,6,0,20,72,0,6,1,122,1,0,0.12280701754386,0.258351893095768
"161",1,1,4,10,266,3,0,4,141,1,0.285714285714286,0.88,0.435897435897436
"162",1,0,0,0,0,0,6,1,0,0,1,0.151515151515152,0.333333333333333
"163",1,21,0,17,4,0,6,228,122,1,0,0.543478260869565,0.263814616755793
"164",1,9,0,21,2,8,0,0,86,0,0.5,0.254237288135593,0.030952380952381
"165",1,0,0,0,0,2,0,119,86,0.5,0,1,0.904761904761905
"166",1,0,4,0,4,72,3,59,311,0.904761904761905,0,0,0.716783216783217
"167",1,0,0,13,7,19,0,5,218,0.666666666666667,0.222222222222222,0,0.557377049180328
"168",1,0,0,0,1,1,0,0,181,0.88,1,0.12280701754386,0
"169",1,0,1,5,4,0,4,0,89,1,0,0.666666666666667,0.139442231075697
"170",1,25,0,0,2,34,18,11,43,0.666666666666667,0,0.3,0.64406779661017
"171",1,0,2,36,0,59,4,0,347,1,0.0357142857142857,0.543478260869565,0.258351893095768
"172",1,0,0,1,7,122,2,10,78,0.5,1,1,0.59016393442623
"173",1,2,1,4,17,4,42,12,294,0.571428571428571,1,0.611111111111111,0.950819672131147
"174",1,2,1,0,266,0,1,1,86,0,0,0.3,0.030952380952381
"175",1,0,0,0,148,16,1,60,47,0.333333333333333,1,0,0.716783216783217
"176",1,0,0,0,129,NA,0,57,426,0.645539906103286,1,0.72,0.551724137931034
"177",1,0,0,36,1,4,1,8,86,0.5,1,0,0.125
"178",1,0,0,0,58,0,11,11,2,0,1,0,0.361702127659574
"179",1,1,2,0,4,0,0,7,181,0.571428571428571,0.0833333333333333,0.545454545454545,0.767441860465116
"180",1,0,1,13,68,6,6,0,294,1,1,0.0168539325842697,0.258351893095768
"181",1,NA,0,9,0,9,0,132,177,1,1,0.866666666666667,0.767441860465116
"182",1,5,0,0,4,2,18,29,426,0,0.666666666666667,1,0.654320987654321
"183",1,3,2,19,192,420,28,6,102,0,1,0.0105263157894737,0.557377049180328
"184",1,1,0,0,16,426,4,3,420,0,0,0,0.551724137931034
"185",1,0,0,0,0,0,4,29,102,1,0.0140845070422535,1,0
"186",1,0,0,0,35,57,0,13,286,0.0168539325842697,0.00591715976331361,0,0.139442231075697
"187",1,0,0,12,17,9,5,10,21,0.666666666666667,0.161290322580645,0.5,0.950819672131147
"188",1,0,0,22,13,0,25,18,78,1,0,0.72,1
"189",1,3,0,13,0,11,0,10,388,0,1,0.736842105263158,0
"190",1,0,0,1,30,1,5,356,8,1,1,0.151515151515152,0.735294117647059
"191",1,0,0,21,68,347,1,0,81,0.543478260869565,1,0.727272727272727,0.904761904761905
"192",1,1,0,11,2,0,0,0,388,0,0,0,0.59016393442623
"193",1,0,0,1,4,0,6,268,551,1,0.571428571428571,0.543478260869565,0.80952380952381
"194",1,0,0,0,17,0,3,251,561,0,0,0.75,0.651515151515151
"195",1,68,0,4,0,45,0,46,102,0.030952380952381,0,1,0.208333333333333
"196",1,13,0,4,58,14,3,15,218,0.571428571428571,0.285714285714286,0.8,0.0224719101123595
"197",1,0,2,3,16,0,0,0,122,0.727272727272727,0,0,0.0813953488372093
"198",1,4,0,16,7,47,0,52,102,0,0.666666666666667,0.0105263157894737,0.708333333333333
"199",1,1,2,0,192,4,1,0,86,0,0,0.857142857142857,0.370165745856354
"200",1,0,0,16,114,4,1,11,81,1,1,0.72,0.880733944954128
"201",1,275,0,1,16,78,0,45,122,0.666666666666667,0,0.285714285714286,0.767441860465116
"202",1,0,0,16,13,0,0,60,86,0.139442231075697,1,0.12280701754386,0.0224719101123595
"203",1,4,0,0,0,2,139,5,181,0.139442231075697,0.875,0.565217391304348,0.645539906103286
"204",1,5,0,19,33,286,3,4,141,0.00591715976331361,1,0.3,0.0813953488372093
"205",1,0,0,16,4,1,3,23,347,1,0,0.565217391304348,0.0747422680412371
"206",1,NA,0,0,129,0,0,4,78,1,0,0,0.370165745856354
"207",1,0,0,1,53,0,1,10,61,0.00746268656716418,1,0.333333333333333,0.139442231075697
"208",1,3,14,0,75,24,42,1,181,0,0.612903225806452,0.316666666666667,0.258351893095768
"209",1,6,0,6,3,4,3,3,0,0.5,0.666666666666667,1,0.654320987654321
"210",1,1,1,0,0,4,0,0,14,0.219512195121951,1,0.88,0
"211",1,7,0,1,35,1,0,52,347,1,1,1,0.557377049180328
"212",1,2,3,0,304,0,1,4,181,1,0.666666666666667,0.88,1
"213",1,53,16,0,3,218,1,49,81,0.316666666666667,0,0.565217391304348,0.767441860465116
"214",1,58,5,18,4,0,1,20,426,0,1,0.555555555555556,0.333333333333333
"215",1,16,0,2,30,0,2,0,24,1,0,0.316666666666667,1
"216",1,1,1,0,304,3,0,11,539,0,0,0.151515151515152,0
"217",1,21,2,6,17,9,4,12,181,1,0,1,0.904761904761905
"218",1,17,0,1,30,0,1,29,251,0,0.00591715976331361,0,0.645539906103286
"219",1,129,6,6,17,0,0,1,86,0.361702127659574,0,0.151515151515152,0.5
"220",1,15,0,36,116,5,0,0,47,0.555555555555556,1,0.333333333333333,1
"221",1,75,4,0,114,0,5,0,102,0,1,0,0.333333333333333
"222",1,6,0,13,192,4,0,251,47,0.941176470588235,0,0.88,0.557377049180328
"223",1,0,4,1,67,14,10,4,388,0,0.941176470588235,0.0909090909090909,0.5
"224",1,10,0,4,29,5,0,95,347,0,0,0.75,0.551724137931034
"225",1,0,0,7,29,0,16,4,294,0.117647058823529,0.5,0,0.716783216783217
"226",1,30,0,4,3,0,0,4,449,0.716783216783217,0.4,0.75,0.208333333333333
"227",1,30,3,7,2,0,6,4,47,0.19047619047619,1,0.25,0.139442231075697
"228",1,2,2,5,72,4,0,4,0,0.25,0.222222222222222,0,0.435897435897436
"229",1,0,16,0,67,0,0,4,198,1,0.666666666666667,1,0.435897435897436
"230",1,1,0,0,0,3,5,356,311,0.75,0.941176470588235,1,0.258351893095768
"231",1,NA,0,0,0,1,2,0,294,0.875,1,0.00398406374501992,0.030952380952381
"232",1,17,0,1,0,34,0,119,21,0,1,0.565217391304348,0.767441860465116
"233",1,0,0,3,34,0,5,9,8,0.151515151515152,0,0,0.435897435897436
"234",1,0,1,17,192,0,4,119,9,0,1,0,0.80952380952381
"235",1,36,1,5,30,14,1,4,347,0.941176470588235,1,0.727272727272727,0
"236",1,18,0,18,116,9,0,0,198,1,1,1,0.139442231075697
"237",1,4,0,1,3,1,14,72,449,1,1,1,0.435897435897436
"238",1,29,0,6,17,0,24,28,86,0.133333333333333,0.75,0,0
"239",1,0,0,1,68,59,1,12,198,0.5,1,0.666666666666667,1
"240",1,6,0,21,3,49,6,4,198,1,1,0.0701754385964912,0.0813953488372093
"241",1,0,4,15,148,15,0,7,43,0,0.19047619047619,1,0.258351893095768
"242",1,1,6,16,205,18,4,4,102,0,1,0.12280701754386,0.139442231075697
"243",1,2,1,5,17,10,10,0,251,0.941176470588235,1,1,0.0714285714285714
"244",1,10,1,0,0,6,0,72,102,0,1,1,0.904761904761905
"245",1,0,0,1,58,0,0,42,24,0.4,0.0909090909090909,1,0.030952380952381
"246",1,0,0,1,7,0,0,1,144,0.0215827338129496,1,1,0.361702127659574
"247",1,0,0,10,0,449,0,42,539,0,0,0.0138888888888889,0.950819672131147
"248",1,0,0,18,17,0,0,9,8,0,1,1,0.64406779661017
"249",1,5,0,5,75,21,0,0,420,0,0.526315789473684,0.0168539325842697,0.030952380952381
"250",1,0,0,2,0,0,0,9,561,0.0769230769230769,0.941176470588235,1,0.125
"251",1,0,0,3,114,9,0,19,181,0.666666666666667,0.571428571428571,0,0.64406779661017
"252",1,5,1,2,0,0,0,8,347,1,0.666666666666667,1,0.030952380952381
"253",1,0,0,1,7,9,0,3,551,0,1,0,0.030952380952381
"254",1,1,0,1,58,5,7,59,86,0,0,0.875,0.651515151515151
"255",1,4,0,1,3,0,0,2,70,0.526315789473684,0,0.866666666666667,0.735294117647059
"256",1,72,0,15,275,15,2,11,86,0,1,1,0.435897435897436
"257",1,0,0,18,33,45,1,28,420,0.692307692307692,1,0.545454545454545,0.59016393442623
"258",1,0,0,16,116,NA,4,49,141,0,0.428571428571429,0,0.551724137931034
"259",1,13,9,0,266,2,0,132,24,0.875,0,1,0.557377049180328
"260",1,4,1,0,192,0,183,1,2,1,0,0.00746268656716418,0.645539906103286
"261",1,66,0,5,0,42,8,119,141,1,0.0140845070422535,1,0.361702127659574
"262",1,0,2,0,58,3,0,4,539,0.166666666666667,0.5,0,0.651515151515151
"263",1,12,0,13,205,1,5,4,198,0.0813953488372093,1,0.565217391304348,0.880733944954128
"264",1,20,19,2,266,0,3,95,89,1,1,0.0138888888888889,0
"265",1,3,0,16,29,2,0,11,43,0,0.928571428571429,0.543478260869565,0.767441860465116
"266",1,0,2,0,1,5,4,25,102,0.551724137931034,1,0.254237288135593,0.333333333333333
"267",1,1,0,3,58,0,6,0,347,1,0,0.0168539325842697,0
"268",1,13,0,15,0,251,6,25,43,0.4,0.571428571428571,0.666666666666667,0.735294117647059
"269",1,0,5,0,2,25,4,9,347,0.228571428571429,1,0,0.370165745856354
"270",1,2,3,0,148,294,0,9,426,1,0.4,0.736842105263158,0.767441860465116
"271",1,19,2,19,34,0,0,72,78,0.8,0.941176470588235,0.5,0.030952380952381
"272",1,0,2,8,266,2,0,5,81,1,1,1,0.125
"273",1,0,10,16,192,0,4,15,2,0.333333333333333,0,0,0
"274",1,0,0,0,67,0,0,52,81,0.88,0,0.0408163265306122,0.333333333333333
"275",1,0,0,1,1,61,2,0,14,0.554621848739496,0,1,0
"276",1,2,0,0,58,356,0,0,9,0,0,0,0.735294117647059
"277",1,0,16,0,116,10,0,12,9,1,0.161290322580645,1,0
"278",1,5,3,6,58,0,0,23,141,0.5,1,0.565217391304348,0.0224719101123595
"279",1,0,0,5,30,102,7,9,551,0.880733944954128,0.68,1,0.645539906103286
"280",1,2,0,6,34,0,4,11,311,0,0,0.555555555555556,0
"281",1,16,1,3,15,8,0,5,426,0.00398406374501992,0,0.0909090909090909,0.228571428571429
"282",1,0,1,0,7,8,1,60,47,0.0138888888888889,0.5,1,0.651515151515151
"283",1,16,0,1,68,18,0,0,449,0.5,1,0.00746268656716418,0.030952380952381
"284",1,0,0,12,33,0,0,59,8,1,1,0.0769230769230769,0.125
"285",1,7,0,0,1,70,0,0,102,0.0813953488372093,0,1,0.228571428571429
"286",1,0,2,13,0,49,0,228,551,1,0.161290322580645,0.554621848739496,0
"287",1,0,4,4,13,4,1,95,198,0,0.909090909090909,1,0.557377049180328
"288",1,0,0,1,2,2,10,0,21,0.654320987654321,1,0.554621848739496,0.674418604651163
"289",1,35,3,18,30,45,0,2,122,0.00591715976331361,0,0,0.139442231075697
"290",1,68,9,2,205,0,14,46,8,0.0224719101123595,0.5,0.285714285714286,0.361702127659574
"291",1,0,0,0,30,4,8,18,43,0.692307692307692,0.166666666666667,0.254237288135593,0
"292",1,0,3,0,0,13,2,25,426,0.0432276657060519,1,0,0.735294117647059
"293",1,1,0,0,4,198,0,119,86,0.0909090909090909,0,0.333333333333333,0.735294117647059
"294",1,0,0,1,17,21,10,1,89,1,0.25,0.0408163265306122,0.435897435897436
"295",1,7,0,1,33,NA,0,9,198,0,0.75,0,0.735294117647059
"296",1,0,1,2,68,0,14,9,78,0.654320987654321,1,0.00746268656716418,0.59016393442623
"297",1,0,0,0,3,29,1,3,47,0,0.666666666666667,0.25,0.551724137931034
"298",1,14,0,0,3,0,0,42,47,0.117647058823529,1,0,0.030952380952381
"299",1,0,0,0,17,NA,2,11,294,0.571428571428571,1,0.0769230769230769,0.125
"300",1,0,0,0,34,4,0,4,9,0.25,1,0.554621848739496,0.370165745856354
"301",1,1,0,0,75,7,0,6,9,0.880733944954128,0.5,0.0105263157894737,0.654320987654321
"302",1,2,0,5,30,0,0,6,144,0.19047619047619,1,0.88,0
"303",1,0,8,0,16,14,0,3,218,0.0204081632653061,1,0,0.651515151515151
"304",1,0,0,3,266,0,0,10,251,1,1,0.555555555555556,0.767441860465116
"305",1,0,0,0,58,1,3,1,86,1,0.0833333333333333,0,0.950819672131147
"306",1,0,0,17,116,NA,6,95,177,0.857142857142857,0,0.25,0.5
"307",1,0,0,2,17,7,6,4,61,1,1,0.727272727272727,0
"308",1,1,0,22,58,21,34,6,89,0,0.0273224043715847,0.00746268656716418,0.0714285714285714
"309",1,0,7,25,266,10,0,46,21,0,0,1,0.674418604651163
"310",1,NA,1,2,266,0,0,9,8,0.555555555555556,0,0,0.551724137931034
"311",1,8,0,6,58,0,0,11,70,0.030952380952381,0,1,0.64406779661017
"312",1,0,0,0,0,4,0,72,89,1,1,0,0.228571428571429
"313",1,0,1,25,72,169,0,4,78,1,1,0.0408163265306122,0.258351893095768
"314",1,0,5,0,13,49,10,46,251,0,0.526315789473684,0.72,0.551724137931034
"315",1,0,0,1,2,1,3,4,122,0.724137931034483,0.00591715976331361,1,0.5
"316",1,1,4,6,275,18,0,2,141,0.651515151515151,0.222222222222222,1,0.645539906103286
"317",1,0,0,3,114,78,0,20,539,0.5,0,0.724137931034483,0.0714285714285714
"318",1,0,6,4,2,2,0,5,420,0,0,0,0.735294117647059
"319",1,0,0,0,13,0,10,4,43,0.5,0.909090909090909,1,0.674418604651163
"320",1,NA,0,0,7,13,0,52,2,1,1,0.724137931034483,0.263814616755793
"321",1,2,7,1,266,539,19,15,551,0.666666666666667,0.4,0.8,0.258351893095768
"322",1,0,2,0,4,13,1,4,251,0,1,0.724137931034483,0.674418604651163
"323",1,0,0,3,129,181,3,25,251,0,0,0.0168539325842697,0.0813953488372093
"324",1,0,0,1,0,102,0,6,539,1,0,1,0.80952380952381
"325",1,0,4,0,58,0,0,20,81,0.0105263157894737,0,0,0.557377049180328
"326",1,19,1,0,205,2,0,0,122,1,1,0.8,0.735294117647059
"327",1,2,4,0,0,0,34,3,0,0,1,1,0.0432276657060519
"328",1,0,0,21,7,86,2,10,539,0.25,0,1,0.208333333333333
"329",1,0,2,1,16,19,11,25,122,0.030952380952381,0.666666666666667,0,0.950819672131147
"330",1,1,1,2,114,0,0,9,8,0.0105263157894737,1,0.8,0
"331",1,0,0,2,58,0,0,4,122,1,1,0.0138888888888889,0.950819672131147
"332",1,15,1,19,75,26,0,45,21,1,0.5,0.254237288135593,1
"333",1,0,0,1,0,6,6,11,2,0.0909090909090909,0.0273224043715847,0,0.551724137931034
