"Method","Metric","Site","Value"
"Minnow_trap","Diversity","CROC_N_16",0.444444444444444
"Minnow_trap","Diversity","CROC_N_17",0.489795918367347
"Minnow_trap","Diversity","CROM_N_07",1
"Minnow_trap","Diversity","CROM_N_09",0
"Minnow_trap","Diversity","CROM_N_11",0
"Minnow_trap","Diversity","CROM_N_12",0
"Minnow_trap","Diversity","CROM_N_13",1
"Minnow_trap","Diversity","CROM_N_14",0
"Minnow_trap","Diversity","CROM_N_15",0
"Minnow_trap","Diversity","CROM_N_01",0.625
"Minnow_trap","Diversity","CROM_N_02",0
"Minnow_trap","Diversity","CROM_N_03",1
"Minnow_trap","Diversity","CROM_N_04",0
"Minnow_trap","Diversity","CROM_N_05",0
"Minnow_trap","Diversity","CROM_N_06",0
"Minnow_trap","Diversity","CROM_N_17",0
"Minnow_trap","Diversity","CROM_N_16",0
"Minnow_trap","Diversity","ECHO_N_03",1
"Minnow_trap","Diversity","ECHO_N_02",0
"Minnow_trap","Diversity","ECHO_N_07",0.32
"Minnow_trap","Diversity","ECHO_N_04",0
"Minnow_trap","Diversity","ECHO_N_05",1
"Minnow_trap","Diversity","ECHO_N_06",0
"Minnow_trap","Diversity","ECHO_N_13",0
"Minnow_trap","Diversity","ECHO_N_14",1
"Minnow_trap","Diversity","ECHO_N_15",0
"Minnow_trap","Diversity","ECHO_N_16",0.18
"Minnow_trap","Diversity","ECHO_N_17",1
"Minnow_trap","Diversity","ECHO_N_09",0
"Minnow_trap","Diversity","ECHO_N_11",0.5
"Minnow_trap","Diversity","ECHO_N_12",0
"Minnow_trap","Diversity","ECHO_N_01",0.448979591836735
"Minnow_trap","Diversity","FOUR_N_12",0
"Minnow_trap","Diversity","FOUR_N_13",1
"Minnow_trap","Diversity","FOUR_N_11",1
"Minnow_trap","Diversity","FOUR_N_01",1
"Minnow_trap","Diversity","FOUR_N_02",1
"Minnow_trap","Diversity","FOUR_N_03",1
"Minnow_trap","Diversity","FOUR_N_04",0
"Minnow_trap","Diversity","FOUR_N_05",0
"Minnow_trap","Diversity","FOUR_N_06",0
"Minnow_trap","Diversity","FOUR_N_07",1
"Minnow_trap","Diversity","FOUR_N_09",0
"Minnow_trap","Diversity","FOUR_N_15",1
"Minnow_trap","Diversity","FOUR_N_16",1
"Minnow_trap","Diversity","FOUR_N_17",1
"Minnow_trap","Diversity","FOUR_N_14",0
"Minnow_trap","Diversity","MONT_N_17",0
"Minnow_trap","Diversity","MONT_N_06",0
"Minnow_trap","Diversity","MONT_N_07",0.408163265306122
"Minnow_trap","Diversity","MONT_N_09",0
"Minnow_trap","Diversity","MONT_N_11",0
"Minnow_trap","Diversity","MONT_N_12",1
"Minnow_trap","Diversity","MONT_N_13",1
"Minnow_trap","Diversity","MONT_N_14",1
"Minnow_trap","Diversity","MONT_N_15",0
"Minnow_trap","Diversity","MONT_N_16",0
"Minnow_trap","Diversity","MONT_N_01",1
"Minnow_trap","Diversity","MONT_N_02",1
"Minnow_trap","Diversity","MONT_N_03",1
"Minnow_trap","Diversity","MONT_N_04",1
"Minnow_trap","Diversity","MONT_N_05",0
"Minnow_trap","Diversity","MORE_N_03",0
"Minnow_trap","Diversity","MORE_N_04",0
"Minnow_trap","Diversity","MORE_N_05",0
"Minnow_trap","Diversity","MORE_N_06",0
"Minnow_trap","Diversity","MORE_N_07",0
"Minnow_trap","Diversity","MORE_N_09",0
"Minnow_trap","Diversity","MORE_N_11",0
"Minnow_trap","Diversity","MORE_N_12",0
"Minnow_trap","Diversity","MORE_N_13",0
"Minnow_trap","Diversity","MORE_N_01",0
"Minnow_trap","Diversity","MORE_N_02",0
"Minnow_trap","Diversity","MORE_N_15",0
"Minnow_trap","Diversity","MORE_N_16",0
"Minnow_trap","Diversity","MORE_N_17",0
"Minnow_trap","Diversity","MORE_N_14",0
"Minnow_trap","Diversity","PINR_N_17",0
"Minnow_trap","Diversity","PINR_N_14",0
"Minnow_trap","Diversity","PINR_N_15",1
"Minnow_trap","Diversity","PINR_N_16",0.1171875
"Minnow_trap","Diversity","PINR_N_01",1
"Minnow_trap","Diversity","PINR_N_02",1
"Minnow_trap","Diversity","PINR_N_03",0
"Minnow_trap","Diversity","PINR_N_04",1
"Minnow_trap","Diversity","PINR_N_05",1
"Minnow_trap","Diversity","PINR_N_06",0.444444444444444
"Minnow_trap","Diversity","PINR_N_07",1
"Minnow_trap","Diversity","PINR_N_09",0.5
"Minnow_trap","Diversity","PINR_N_11",0
"Minnow_trap","Diversity","PINR_N_12",1
"Minnow_trap","Diversity","PINR_N_13",1
"Minnow_trap","Diversity","STON_N_10",0
"Minnow_trap","Diversity","STON_N_07",1
"Minnow_trap","Diversity","STON_N_08",0.375
"Minnow_trap","Diversity","STON_N_09",0
"Minnow_trap","Diversity","STON_N_01",1
"Minnow_trap","Diversity","STON_N_02",1
"Minnow_trap","Diversity","STON_N_03",1
"Minnow_trap","Diversity","STON_N_04",0
"Minnow_trap","Diversity","STON_N_05",1
"Minnow_trap","Diversity","STON_N_06",0
"Minnow_trap","Diversity","STON_N_11",0
"Minnow_trap","Diversity","STON_N_12",1
"Minnow_trap","Diversity","STON_N_13",1
"Minnow_trap","Diversity","STON_N_14",1
"Minnow_trap","Diversity","STON_N_15",0
"Minnow_trap","Diversity","TRAC_N_01",1
"Minnow_trap","Diversity","TRAC_N_02",1
"Minnow_trap","Diversity","TRAC_N_03",1
"Minnow_trap","Diversity","TRAC_N_04",1
"Minnow_trap","Diversity","TRAC_N_05",1
"Minnow_trap","Diversity","TRAC_N_06",0
"Minnow_trap","Diversity","TRAC_N_07",1
"Minnow_trap","Diversity","TRAC_N_09",1
"Minnow_trap","Diversity","TRAC_N_11",1
"Minnow_trap","Diversity","TRAC_N_12",1
"Minnow_trap","Diversity","TRAC_N_13",1
"Minnow_trap","Diversity","TRAC_N_14",1
"Minnow_trap","Diversity","TRAC_N_15",1
"Minnow_trap","Diversity","TRAC_N_16",1
"Minnow_trap","Diversity","TRAC_N_17",1
"Minnow_trap","Diversity","TRIT_N_01",1
"Minnow_trap","Diversity","TRIT_N_02",0
"Minnow_trap","Diversity","TRIT_N_03",1
"Minnow_trap","Diversity","TRIT_N_04",0.32
"Minnow_trap","Diversity","TRIT_N_05",0
"Minnow_trap","Diversity","TRIT_N_06",0
"Minnow_trap","Diversity","TRIT_N_07",0
"Minnow_trap","Diversity","TRIT_N_09",0
"Minnow_trap","Diversity","TRIT_N_11",0
"Minnow_trap","Diversity","TRIT_N_12",1
"Minnow_trap","Diversity","TRIT_N_13",0.489795918367347
"Minnow_trap","Diversity","TRIT_N_14",0
"Minnow_trap","Diversity","TRIT_N_15",0
"Minnow_trap","Diversity","TRIT_N_16",0
"Minnow_trap","Diversity","TRIT_N_17",0
"Minnow_trap","Evenness","ACHI_N_14",0
"Minnow_trap","Evenness","ACHI_N_15",0
"Minnow_trap","Evenness","ACHI_N_01",0
"Minnow_trap","Evenness","ACHI_N_02",0
"Minnow_trap","Evenness","ACHI_N_03",0
"Minnow_trap","Evenness","ACHI_N_04",0
"Minnow_trap","Evenness","ACHI_N_05",0
"Minnow_trap","Evenness","ACHI_N_06",0
"Minnow_trap","Evenness","ACHI_N_07",0
"Minnow_trap","Evenness","ACHI_N_09",0
"Minnow_trap","Evenness","ACHI_N_11",0
"Minnow_trap","Evenness","ACHI_N_12",0
"Minnow_trap","Evenness","ACHI_N_13",0
"Minnow_trap","Evenness","ACHI_N_16",NA
"Minnow_trap","Evenness","ACHI_N_17",0
"Minnow_trap","Evenness","BEAV_N_01",NA
"Minnow_trap","Evenness","BEAV_N_02",0.882534664125714
"Minnow_trap","Evenness","BEAV_N_03",0.958240728258841
"Minnow_trap","Evenness","BEAV_N_04",0.721928094887362
"Minnow_trap","Evenness","BEAV_N_05",0.712064054890548
"Minnow_trap","Evenness","BEAV_N_06",NA
"Minnow_trap","Evenness","BEAV_N_07",NA
"Minnow_trap","Evenness","BEAV_N_09",0
"Minnow_trap","Evenness","BEAV_N_11",0
"Minnow_trap","Evenness","BEAV_N_12",0.545478963031096
"Minnow_trap","Evenness","BEAV_N_13",0.916310806766551
"Minnow_trap","Evenness","BEAV_N_14",0.399129937435664
"Minnow_trap","Evenness","BEAV_N_15",0.95496488613092
"Minnow_trap","Evenness","BEAV_N_16",0
"Minnow_trap","Evenness","BEAV_N_17",0
"Minnow_trap","Evenness","COEU_N_03",0
"Minnow_trap","Evenness","COEU_N_04",0
"Minnow_trap","Evenness","COEU_N_05",0
"Minnow_trap","Evenness","COEU_N_06",NA
"Minnow_trap","Evenness","COEU_N_07",0
"Minnow_trap","Evenness","COEU_N_09",NA
"Minnow_trap","Evenness","COEU_N_11",NA
"Minnow_trap","Evenness","COEU_N_12",0
"Minnow_trap","Evenness","COEU_N_13",0
"Minnow_trap","Evenness","COEU_N_14",NA
"Minnow_trap","Evenness","COEU_N_15",0
"Minnow_trap","Evenness","COEU_N_16",0
"Minnow_trap","Evenness","COEU_N_17",0
"Minnow_trap","Evenness","COEU_N_01",0
"Minnow_trap","Evenness","COEU_N_02",0.543564443199596
"Minnow_trap","Evenness","CORN_N_01",0.729846699162098
"Minnow_trap","Evenness","CORN_N_02",0
"Minnow_trap","Evenness","CORN_N_03",0
"Minnow_trap","Evenness","CORN_N_04",0
"Minnow_trap","Evenness","CORN_N_11",NA
"Minnow_trap","Evenness","CORN_N_12",0
"Minnow_trap","Evenness","CORN_N_13",0
"Minnow_trap","Evenness","CORN_N_14",0
"Minnow_trap","Evenness","CORN_N_15",0
"Minnow_trap","Evenness","CORN_N_16",0
"Minnow_trap","Evenness","CORN_N_17",0
"Minnow_trap","Evenness","CORN_N_05",0
"Minnow_trap","Evenness","CORN_N_06",0
"Minnow_trap","Evenness","CORN_N_07",0
"Minnow_trap","Evenness","CORN_N_09",NA
"Minnow_trap","Evenness","CORR_N_11",0.439496986921513
"Minnow_trap","Evenness","CORR_N_12",0.970950594454669
"Minnow_trap","Evenness","CORR_N_09",0.322756958897398
"Minnow_trap","Evenness","CORR_N_10",0.962900414771327
"Minnow_trap","Evenness","CORR_N_15",0.402020591788948
"Minnow_trap","Evenness","CORR_N_06",0.920619835714305
"Minnow_trap","Evenness","CORR_N_07",0
"Minnow_trap","Evenness","CORR_N_08",0.680345483920111
"Minnow_trap","Evenness","CORR_N_14",0.540982091757367
"Minnow_trap","Evenness","CORR_N_01",0.811278124459133
"Minnow_trap","Evenness","CORR_N_02",0.91829583405449
"Minnow_trap","Evenness","CORR_N_13",0.9980008838723
"Minnow_trap","Evenness","CORR_N_04",0.430551867010439
"Minnow_trap","Evenness","CORR_N_05",0
"Minnow_trap","Evenness","CORR_N_03",0.991008542931581
"Minnow_trap","Evenness","CROC_N_06",0
"Minnow_trap","Evenness","CROC_N_04",NA
"Minnow_trap","Evenness","CROC_N_05",0.222284830685688
"Minnow_trap","Evenness","CROC_N_01",0.721928094887362
"Minnow_trap","Evenness","CROC_N_02",0.626576299653254
"Minnow_trap","Evenness","CROC_N_03",NA
"Minnow_trap","Evenness","CROC_N_07",0.571361947860734
"Minnow_trap","Evenness","CROC_N_09",NA
"Minnow_trap","Evenness","CROC_N_11",0.684038435639042
"Minnow_trap","Evenness","CROC_N_12",0.721928094887362
"Minnow_trap","Evenness","CROC_N_13",0.413816850303634
"Minnow_trap","Evenness","CROC_N_14",NA
"Minnow_trap","Evenness","CROC_N_15",NA
"Minnow_trap","Evenness","CROC_N_16",0.91829583405449
"Minnow_trap","Evenness","CROC_N_17",0.985228136034252
"Minnow_trap","Evenness","CROM_N_07",0
"Minnow_trap","Evenness","CROM_N_09",NA
"Minnow_trap","Evenness","CROM_N_11",NA
"Minnow_trap","Evenness","CROM_N_12",NA
"Minnow_trap","Evenness","CROM_N_13",0
"Minnow_trap","Evenness","CROM_N_14",NA
"Minnow_trap","Evenness","CROM_N_15",NA
"Minnow_trap","Evenness","CROM_N_01",0.946394630357186
"Minnow_trap","Evenness","CROM_N_02",NA
"Minnow_trap","Evenness","CROM_N_03",0
"Minnow_trap","Evenness","CROM_N_04",NA
"Minnow_trap","Evenness","CROM_N_05",NA
"Minnow_trap","Evenness","CROM_N_06",NA
"Minnow_trap","Evenness","CROM_N_17",NA
"Minnow_trap","Evenness","CROM_N_16",NA
"Minnow_trap","Evenness","ECHO_N_03",0
