"Lake","Transect_ID","Date","Latitude","Longitude","Cloud_cover","Start_time","Identifier","LeGi_I","LeGi_H","Cyp_I","Cyp_H","PeFl_I","PeFl_H","MiDo_I","MiDo_H","AmRu_I","AmRu_H","silt","sand","rock","block","macrophyte","depth","trunk","temperature","conductivity","oxygen","turbidity","potH","carbon","nitrogen","phosphorus"
"Coeur","COEU3","25/08/2022","45°58.095","74°00.775",40,"10:20","Juliane_Charles",42,8,0,0,0,3,16,17,0,0,33.9,0,20.5,45.6,9,80,9,23,53.4,8.26,0.2,7.13,5.6,331.67,7.3317
"Coeur","COEU4","25/08/2022","45°58.086","74°00.835",40,"09:45","Charles_Juliane",38,4,0,0,0,3,15,21,0,0,57,0,15.9,27.1,10.6,108,79,22.8,53.2,8.26,0.28,6.78,5.64,341.93,6.9554
"Cornu","CORN1","18/08/2022","45°52.949","74°00.138",100,"12:10","Charles_Juliane",55,7,0,20,0,1,13,26,0,0,NA,NA,NA,NA,NA,NA,NA,22.6,147.8,8.69,0.74,7.33,3.97,324.83,6.9125
"Cornu","CORN2","18/08/2022","45°53.090","74°00.339",100,"10:09","Charles_Lea",272,17,0,131,0,0,3,3,0,0,100,0,0,0,25,39.5,45,22.5,149.6,8,0.41,6.87,4.05,292.91,7.6265
"Cornu","CORN3","18/08/2022","45°53.125","74°00.332",90,"10:42","Lea_Charles",141,38,0,371,1,1,6,3,0,0,97.4,0,0,2.6,75.5,44.5,11,22.6,152.3,8.1,1.34,6.77,4.05,374.99,13.9793
"Cornu","CORN4","18/08/2022","45°52.960","73°59.989",100,"11:30","Juliane_Charles",57,3,0,0,0,0,1,0,0,0,18,0,65.5,16.5,14.9,45,18,22.6,147.8,9.1,0.13,7.61,4.13,357.89,8.7511
"Corriveau","CORR1","11/08/2022","45°58.603","74°00.141",30,"10:07","Juliane_Lea",29,22,0,337,0,0,0,0,0,0,77.5,0,14,8.5,35,107,108,20.3,19.1,8.06,0.49,5.76,8.42,400.07,12.4658
"Corriveau","CORR2","11/08/2022","45°58.589","74°00.008",80,"10:50","Lea_Juliane",13,72,0,335,0,0,0,0,0,0,57.5,6,12,24.5,27.5,89.5,33,21,19.1,8.27,0.39,6.1,8.25,394.37,14.9332
"Croche","CROC1","09/08/2022","45°59.658","74°00.429",100,"10:58","Louis-Philippe_Charles",15,101,0,231,0,0,0,0,0,0,100,0,0,0,39.5,73.5,52,21.3,14.2,7.84,0.38,6.09,6.36,332.81,7.0791
"Croche","CROC4","09/08/2022","45°59.443","74°00.398",100,"14:47","Louis-Philippe_Juliane",35,89,0,127,0,0,0,0,0,0,97.5,0,1,1.5,10.1,97,171,21.9,14.3,8.2,0.19,5.89,5.39,260.99,8.0571
"Croche","CROC6","09/08/2022","45°59.456","74°00.815",100,"09:43","Charles_Louis-Philippe",16,31,0,23,0,0,0,0,0,0,50.5,0,46.1,2.9,3.3,94,73,21.6,14.2,7.71,0.24,6.05,6.3,298.61,8.8069
"Cromwell","CROM2","10/08/2022","45°59.301","73°59.796",80,"09:40","Louis-Philippe_Charles",17,3,0,0,0,0,0,1,0,0,80,0,6,27,56,76,79,19.7,19.2,6.66,0.91,5.72,7.87,381.83,11.5249
"Cromwell","CROM3","10/08/2022","45°59.334","74°00.035",60,"10:22","Juliane_Lea",2,5,0,79,0,0,0,3,0,0,71,0,14,15,61.5,84.5,27,19.6,19.6,4.56,0.56,5.76,7.57,341.93,11.8224
"Cromwell","CROM4","10/08/2022","45°59.352","74°00.035",75,"10:25","Charles_Louis-Philippe",17,17,0,9,0,0,0,4,0,0,89.8,0,5.8,4.4,69,117,53,19.8,19.6,5.45,0.49,5.89,7.81,361.31,10.716
"Echo","ECHO1","16/08/2022","45°53.522","74°01.994",5,"13:33","Charles_Lea",36,29,0,83,26,2,3,0,2,0,87,0,5.8,7.2,53.5,50.5,45,23.5,174.3,9.84,1.8,8,5.58,492.41,13.4672
"Echo","ECHO2","16/08/2022","45°53.478","74°01.522",20,"15:00","Juliane_Lea",3,0,0,3,0,0,1,1,0,0,59.5,19,10.5,10.5,49,39.5,27,25,171,10.07,3.5,8.17,5.75,511.79,15.8648
"Echo","ECHO3","16/08/2022","45°53.083","74°01.165",10,"11:50","Juliane_Charles",3,3,0,69,0,0,4,7,0,0,0,13,85,2,1.1,41.3,21,23.4,159.9,9.77,1.54,8.15,5.65,519.77,15.7477
"Echo","ECHO4","16/08/2022","45°52.996","74°01.562",5,"11:03","Charles_Juliane",11,4,0,0,1,0,5,2,0,1,75,0,19.5,5.5,11.5,51,17,23.3,159.6,9.71,2.12,7.96,5.72,593.87,19.3587
"Echo","ECHO5","16/08/2022","45°53.277","74°01.609",10,"14:17","Lea_Juliane",25,18,0,94,0,1,1,1,4,0,84,0,7,9,58.5,52,10,24.6,166.3,10.18,1.56,8.25,5.67,520.91,13.1379
"Fournelle","FOUR1","03/08/2022","45°54.948","72°02.370",75,"14:51","Charles_Juliane",21,13,0,0,0,0,13,31,0,0,96.9,0,3,0.1,31.5,82,41,24.9,62.5,8.44,0.76,6.68,5.41,311.15,9.0404
"Fournelle","FOUR2","03/08/2022","45°54.820","72°02.397",80,"14:35","Juliane_Charles",106,32,0,0,0,0,15,30,8,7,95.4,0,1.2,3.2,9.6,125.5,26,24.5,60.7,8.94,1.58,7.38,5.42,328.25,10.2989
"Fournelle","FOUR3","03/08/2022","45°54.803","72°02.374",60,"15:08","Juliane_Charles",192,43,0,0,0,1,13,33,0,4,100,0,0,0,8.5,61.5,57,24.6,60.7,8.78,1.33,7.61,5.37,308.87,7.4852
"Montaubois","MONT1","05/08/2022","45°55.243","74.04.387",20,"09:30","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,60.9,8.26,0.03,6.44,3.88,303.17,6.111
"Montaubois","MONT2","05/08/2022","45°55.383","74°04.444",20,"09:40","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,61.5,8.01,0.08,6.52,3.67,239.33,5.5773
"Montaubois","MONT3","05/08/2022","45°55.365","74°04.073",20,"09:50","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,61.7,8.17,0.02,6.64,3.7,265.55,5.0967
"Morency","MORE1","19/08/2022","45°55.868","74°01.889",5,"12:05","Charles_Lea",265,24,0,0,0,0,1,4,0,0,88.5,0,3.6,7.8,8.5,30.5,15,24.8,132.7,10.38,2.38,8.5,4.49,356.75,7.5123
"Morency","MORE2","19/08/2022","45°55.829","74°02.044",2,"11:30","Juliane_Charles",191,13,0,0,0,0,1,13,0,0,42.8,0.7,16.5,41,5.9,168,94,24,129.3,9.53,4.32,8.16,4.3,341.93,6.8925
"Morency","MORE3","19/08/2022","45°55.727","74°02.213",3,"10:45","Juliane_Lea",303,236,0,0,0,0,1,11,0,0,24.5,0,35.5,40.5,13.5,129,83,23.2,128.6,9.29,0.42,8.17,4.25,355.61,8.4191
"Morency","MORE4","19/08/2022","45°55.678","74°02.039",10,"09:57","Lea_Juliane",116,47,0,279,0,0,0,7,0,0,53,3,16.5,27.5,57.3,58,31,22.3,126.1,9.52,0.43,8.28,4.3,355.61,6.6601
"Pin_rouge","PINR1","27/08/2022","45°57.608","74°02.613",80,"14:00","Lea_Charles",2,0,0,0,0,0,0,0,0,0,100,0,0,0,61,32.5,5,21,45.5,7.7,0.39,6.74,8.27,502.67,13.6476
"Pin_rouge","PINR2","27/08/2022","45°57.515","74°02.498",40,"15:07","Lea_Juliane",95,42,0,0,0,0,0,5,19,16,69.5,9,4.5,17,23.3,56.5,37,20.9,45.9,8.13,0.35,6.42,8.29,460.49,13.4307
"Pin_rouge","PINR3","27/08/2022","45°57.493","74°02.606",80,"14:31","Juliane_Lea",31,7,0,0,2,3,0,0,0,0,98.8,0.7,0.5,0,9.2,26.5,20,20.7,45.7,8.08,0.12,7.01,8.15,408.05,8.1835
"St-Onge","STON1","03/08/2022","45°54.924","73°57.716",30,"09:30","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,99.1,7.1,1.36,6.18,13.1,530.03,17.6344
"St-Onge","STON2","03/08/2022","45°54.834","73°57.762",30,"09:45","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,94.4,7.64,1.45,6.55,13.3,656.57,25.7782
"Tracy","TRAC1","05/08/2022","45°55.521","74°04.035",20,"11:10","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,71.1,8.31,0.08,6.45,3.31,272.39,4.822
"Tracy","TRAC2","05/08/2022","45°55.690","74°03.833",20,"11:18","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,72.9,8.24,0.03,6.35,3.87,467.33,8.6231
"Triton","TRIT1","10/08/2022","45°59.298","74°00.457",70,"13:15","Louis-Philippe_Charles",0,538,0,1,0,0,0,0,0,0,98.8,0,0,1.2,57.5,128.5,27,20.9,14.3,7.52,1.19,5.99,7.09,386.39,9.5666
"Triton","TRIT2","10/08/2022","45°59.296","74°00.456",60,"13:18","Lea_Juliane",0,311,0,0,0,0,0,0,0,0,91.5,0,4.5,4,41,121,166,20.9,14.2,7.55,0.82,5.69,7.93,379.55,10.1204
