"Transect_ID","Lake","Date","Latitude","Longitude","Cloud_cover","Start_time","Identifier","tot_AmRu","tot_MiDo","tot_LeGi","tot_PeFl","tot_Cyprinidae","inf_AmRu","inf_MiDo","inf_LeGi","inf_PeFl","inf_Cyprinidae","Trunk","Silt","Sand","Rock","Metric_block","Macrophyte","Mean_depth","Temperature","Conductivity","DO","Turbidity","pH","TOC","TN","TP"
"MORE4","Morency","19/08/2022","45°55.678'","74°02.039'",10,"09:57","Lea_Juliane",0,7,163,0,279,0,0,116,0,0,31,53,3,16.5,27.5,57.3,58,22.3,126.1,9.52,0.43,8.28,4.3,355.61,6.6601
"PINR1","Pin_rouge","27/08/2022","45°57.608'","74°02.613'",80,"14:00","Lea_Charles",0,0,2,0,0,0,0,2,0,0,5,100,0,0,0,61,32.5,21,45.5,7.7,0.39,6.74,8.27,502.67,13.6476
"PINR2","Pin_rouge","27/08/2022","45°57.515'","74°02.498'",40,"15:07","Lea_Juliane",35,5,137,0,0,19,0,95,0,0,37,69.5,9,4.5,17,23.3,56.5,20.9,45.9,8.13,0.35,6.42,8.29,460.49,13.4307
"PINR3","Pin_rouge","27/08/2022","45°57.493'","74°02.606'",80,"14:31","Juliane_Lea",0,0,38,5,0,0,0,31,2,0,20,98.8,0.7,0.5,0,9.2,26.5,20.7,45.7,8.08,0.12,7.01,8.15,408.05,8.1835
"STON1","St-Onge","03/08/2022","45°54.924'","73°57.716'",30,"09:30","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,99.1,7.1,1.36,6.18,13.1,530.03,17.6344
"STON2","St-Onge","03/08/2022","45°54.834'","73°57.762'",30,"09:45","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,94.4,7.64,1.45,6.55,13.3,656.57,25.7782
"TRAC1","Tracy","05/08/2022","45°55.521'","74°04.035'",20,"11:10","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,71.1,8.31,0.08,6.45,3.31,272.39,4.822
"TRAC2","Tracy","05/08/2022","45°55.690'","74°03.833'",20,"11:18","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,72.9,8.24,0.03,6.35,3.87,467.33,8.6231
"TRIT1","Triton","10/08/2022","45°59.298'","74°00.457'",70,"13:15","Louis-Philippe_Charles",0,0,538,0,1,0,0,0,0,0,27,98.8,0,0,1.2,57.5,128.5,20.9,14.3,7.52,1.19,5.99,7.09,386.39,9.5666
"TRIT2","Triton","10/08/2022","45°59.296'","74°00.456'",60,"13:18","Lea_Juliane",0,0,311,0,0,0,0,0,0,0,166,91.5,0,4.5,4,41,121,20.9,14.2,7.55,0.82,5.69,7.93,379.55,10.1204
