"Fishing_ID","Species_ID","Lake","Date","Latitude","Longitude","Start_time","Gear_type","Gear_ID","Identifier","Abund_inf","Abund_tot"
"ACHI_S_07","PeFl","Achigan","2022-07-27","45°56.663'","73°57.678'","15:27","Seine","S1","Charles",0,1
"ACHI_S_08","Centrarchidae","Achigan","2022-07-27","45°56.660'","73°57.680'","15:48","Seine","S1","Juliane",0,1
"ACHI_S_08","LeGi","Achigan","2022-07-27","45°56.660'","73°57.680'","15:48","Seine","S1","Juliane",7,34
"ACHI_S_08","MiDo","Achigan","2022-07-27","45°56.660'","73°57.680'","15:48","Seine","S1","Juliane",0,10
"ACHI_S_08","PeFl","Achigan","2022-07-27","45°56.660'","73°57.680'","15:48","Seine","S1","Juliane",0,12
"BEAV_N_01","PiPr","Beaver","2022-07-07","45°55.536'","74°03.862'","16:40","Minnow_trap","N1","Charles",0,15
"BEAV_N_02","Chrosomus sp.","Beaver","2022-07-07","45°55.441'","74°03.863'","16:27","Minnow_trap","N2","Charles",0,59
"BEAV_N_02","PiPr","Beaver","2022-07-07","45°55.441'","74°03.863'","16:27","Minnow_trap","N2","Charles",4,137
"BEAV_N_03","Chrosomus sp.","Beaver","2022-07-07","45°55.431'","74°03.901'","16:29","Minnow_trap","N3","Charles",0,27
"BEAV_N_03","PiPr","Beaver","2022-07-07","45°55.431'","74°03.901'","16:29","Minnow_trap","N3","Charles",1,44
"BEAV_N_04","Chrosomus sp.","Beaver","2022-07-07","45°55.475'","74°03.808'","16:24","Minnow_trap","N4","Charles",0,2
"BEAV_N_04","PiPr","Beaver","2022-07-07","45°55.475'","74°03.808'","16:24","Minnow_trap","N4","Charles",0,8
"BEAV_N_05","Chrosomus sp.","Beaver","2022-07-07","45°55.454'","74°03.919'","16:33","Minnow_trap","N5","Charles",0,8
"BEAV_N_05","PiPr","Beaver","2022-07-07","45°55.454'","74°03.919'","16:33","Minnow_trap","N5","Charles",0,33
"BEAV_N_06","PiPr","Beaver","2022-07-07","45°55.462'","74°03.831'","16:25","Minnow_trap","N6","Charles",0,1
"BEAV_N_07","PiPr","Beaver","2022-07-07","45°55.518'","74°03.762'","16:19","Minnow_trap","N7","Charles",0,6
"BEAV_N_09",NA,"Beaver","2022-07-07","45°55.423'","74°03.933'","16:31","Minnow_trap","N9",NA,0,0
"BEAV_N_11",NA,"Beaver","2022-07-07","45°55.517'","74°03.882'","16:38","Minnow_trap","N11",NA,0,0
"BEAV_N_12","Chrosomus sp.","Beaver","2022-07-07","45°55.551'","74°03.832'","16:15","Minnow_trap","N12","Charles",0,23
"BEAV_N_12","PiPr","Beaver","2022-07-07","45°55.551'","74°03.832'","16:15","Minnow_trap","N12","Charles",5,160
"BEAV_N_13","Chrosomus sp.","Beaver","2022-07-07","45°55.484'","74°03.782'","16:22","Minnow_trap","N13","Charles",0,56
"BEAV_N_13","PiPr","Beaver","2022-07-07","45°55.484'","74°03.782'","16:22","Minnow_trap","N13","Charles",1,113
"BEAV_N_14","Chrosomus sp.","Beaver","2022-07-07","45°55.546'","74°03.783'","16:18","Minnow_trap","N14","Charles",0,11
"BEAV_N_14","PiPr","Beaver","2022-07-07","45°55.546'","74°03.783'","16:18","Minnow_trap","N14","Charles",3,128
"BEAV_N_15","Chrosomus sp.","Beaver","2022-07-07","45°55.500'","74°03.913'","16:37","Minnow_trap","N15","Charles",0,65
"BEAV_N_15","PiPr","Beaver","2022-07-07","45°55.500'","74°03.913'","16:37","Minnow_trap","N15","Charles",0,108
"BEAV_N_16",NA,"Beaver","2022-07-07","45°55.550'","74°03.812'","16:15","Minnow_trap","N16",NA,0,0
"BEAV_N_17",NA,"Beaver","2022-07-07","45°55.483'","74°03.915'","16:36","Minnow_trap","N17",NA,0,0
"BEAV_S_01","Chrosomus sp.","Beaver","2022-07-07","45°55.549'","74°03.790'","14:25","Seine","S1","Juliane",0,25
"BEAV_S_01","PiNo","Beaver","2022-07-07","45°55.549'","74°03.790'","14:25","Seine","S1","Juliane",0,3
"BEAV_S_01","PiPr","Beaver","2022-07-07","45°55.549'","74°03.790'","14:25","Seine","S1","Juliane",1,67
"BEAV_S_02","Chrosomus sp.","Beaver","2022-07-07","45°55.534'","74°03.869'","15:28","Seine","S1","Juliane",0,140
"BEAV_S_02","PiPr","Beaver","2022-07-07","45°55.534'","74°03.869'","15:28","Seine","S1","Juliane",6,216
"BEAV_S_03","Chrosomus sp.","Beaver","2022-07-07","45°55.523'","74°03.876'","19:00","Seine","S1","Charles",0,67
"BEAV_S_03","PiPr","Beaver","2022-07-07","45°55.523'","74°03.876'","19:00","Seine","S1","Charles",1,184
"BEAV_S_04","Chrosomus sp.","Beaver","2022-07-07","45°55.415'","74°03.920'","19:43","Seine","S1","Charles",0,4
"BEAV_S_04","Cyprinidae","Beaver","2022-07-07","45°55.415'","74°03.920'","19:43","Seine","S1","Charles",0,1
"BEAV_S_04","PiPr","Beaver","2022-07-07","45°55.415'","74°03.920'","19:43","Seine","S1","Charles",1,67
"COEU_N_01",NA,"Coeur","2022-07-15","45°58.016'","74°00.315'","16:28","Minnow_trap","N1",NA,0,0
"COEU_N_02","MiDo","Coeur","2022-07-15","45°58.072'","74°00.885'","17:01","Minnow_trap","N2","Juliane",0,7
"COEU_N_02","PeFl","Coeur","2022-07-15","45°58.072'","74°00.885'","17:01","Minnow_trap","N2","Juliane",0,1
"COEU_N_03",NA,"Coeur","2022-07-15","45°58.221'","74°00.238'","16:13","Minnow_trap","N3",NA,0,0
"COEU_N_04",NA,"Coeur","2022-07-15","45°57.948'","74°00.579'","16:48","Minnow_trap","N4",NA,0,0
"COEU_N_05",NA,"Coeur","2022-07-15","45°58.064'","74°00.805'","16:58","Minnow_trap","N5",NA,0,0
"COEU_N_06","LeGi","Coeur","2022-07-15","45°58.008'","74°00.582'","16:51","Minnow_trap","N6","Juliane",0,1
"COEU_N_07",NA,"Coeur","2022-07-15","45°58.195'","74°00.335'","16:15","Minnow_trap","N7",NA,0,0
"COEU_N_09","LeGi","Coeur","2022-07-15","45°58.275'","74°00.480'","17:15","Minnow_trap","N9","Juliane",1,1
"COEU_N_11","LeGi","Coeur","2022-07-15","45°57.932'","74°00.243'","16:34","Minnow_trap","N11","Juliane",0,1
"COEU_N_12",NA,"Coeur","2022-07-15","45°58.216'","74°00.509'","16:18","Minnow_trap","N12",NA,0,0
"COEU_N_13",NA,"Coeur","2022-07-15","45°57.941'","74°00.449'","16:39","Minnow_trap","N13",NA,0,0
"COEU_N_14","LeGi","Coeur","2022-07-15","45°58.285'","74°00.344'","17:58","Minnow_trap","N14","Juliane",2,2
"COEU_N_15",NA,"Coeur","2022-07-15","45°58.082'","74°00.762'","17:06","Minnow_trap","N15",NA,0,0
"COEU_N_16",NA,"Coeur","2022-07-15","45°58.045'","74°00.483'","16:24","Minnow_trap","N16",NA,0,0
"COEU_N_17",NA,"Coeur","2022-07-15","45°57.832'","74°00.565'","16:44","Minnow_trap","N17",NA,0,0
"COEU_S_01",NA,"Coeur","2022-07-15","45°58.216'","74°00.690'","14:10","Seine","S1",NA,0,0
"COEU_S_02","LeGi","Coeur","2022-07-15","45°58.133'","74°00.998'","14:45","Seine","S1","Juliane",10,10
"COEU_S_03","LeGi","Coeur","2022-07-15","45°58.143'","74°00.833'","15:05","Seine","S1","Charles",56,57
"COEU_S_03","PeFl","Coeur","2022-07-15","45°58.143'","74°00.833'","15:05","Seine","S1","Charles",10,62
"COEU_S_04","MiDo","Coeur","2022-07-15","45°58.099'","74°01.125'","15:35","Seine","S1","Juliane",0,1
"COEU_S_05","LeGi","Coeur","2022-07-15","45°58.266'","74°00.217'","16:00","Seine","S1","Charles",4,4
"COEU_S_05","MiDo","Coeur","2022-07-15","45°58.266'","74°00.217'","16:00","Seine","S1","Charles",1,1
"COEU_S_06","LeGi","Coeur","2022-07-15","45°58.260'","74°00.212'","17:24","Seine","S1","Charles",34,36
"COEU_S_06","PeFl","Coeur","2022-07-15","45°58.260'","74°00.212'","17:24","Seine","S1","Charles",2,9
"CORN_N_01","LeGi","Cornu","2022-06-28","45°53.134'","74°00.336'","16:26","Minnow_trap","N1","Charles",5,7
"CORN_N_01","MiDo","Cornu","2022-06-28","45°53.134'","74°00.336'","16:26","Minnow_trap","N1","Charles",0,1
"CORN_N_01","SeAt","Cornu","2022-06-28","45°53.134'","74°00.336'","16:26","Minnow_trap","N1","Charles",0,2
"CORN_N_02",NA,"Cornu","2022-06-28","45°52.866'","73°59.871'","16:48","Minnow_trap","N2",NA,0,0
"CORN_N_03",NA,"Cornu","2022-06-28","45°52.931'","74°00.130'","16:14","Minnow_trap","N3",NA,0,0
"CORN_N_04",NA,"Cornu","2022-06-28","45°53.074'","73°59.806'","16:43","Minnow_trap","N4",NA,0,0
"CORN_N_05",NA,"Cornu","2022-06-28","45°52.777'","73°59.954'","16:55","Minnow_trap","N5",NA,0,0
"CORN_N_06",NA,"Cornu","2022-06-28","45°53.071'","74°00.302'","16:20","Minnow_trap","N6",NA,0,0
"CORN_N_07",NA,"Cornu","2022-06-28","45°52.978'","73°59.873'","16:45","Minnow_trap","N7",NA,0,0
"CORN_N_09","MiDo","Cornu","2022-06-28","45°53.049'","73°59.928'","16:40","Minnow_trap","N9","Charles",0,1
"CORN_N_11","LeGi","Cornu","2022-06-28","45°52.954'","74°00.037'","16:35","Minnow_trap","N11","Charles",2,2
"CORN_N_12",NA,"Cornu","2022-06-28","45°52.791'","73°59.869'","16:53","Minnow_trap","N12",NA,0,0
"CORN_N_13",NA,"Cornu","2022-06-28","45°53.040'","74°00.124'","16:31","Minnow_trap","N13",NA,0,0
"CORN_N_14",NA,"Cornu","2022-06-28","45°52.805'","74°00.140'","16:06","Minnow_trap","N14",NA,0,0
"CORN_N_15",NA,"Cornu","2022-06-28","45°52.830'","73°59.817'","16:50","Minnow_trap","N15",NA,0,0
"CORN_N_16",NA,"Cornu","2022-06-28","45°52.798'","74°00.215'","16:08","Minnow_trap","N16",NA,0,0
"CORN_N_17",NA,"Cornu","2022-06-28","45°53.087'","74°00.336'","16:23","Minnow_trap","N17",NA,0,0
"CORN_S_01","LeGi","Cornu","2022-06-28","45°52.800'","74°00.201'","13:00","Seine","S1","Charles",3,4
"CORN_S_02","LeGi","Cornu","2022-06-28","45°52.809'","74°00.216'","15:20","Seine","S1","Juliane",2,2
"CORN_S_02","MiDo","Cornu","2022-06-28","45°52.809'","74°00.216'","15:20","Seine","S1","Juliane",1,1
"CORN_S_03","LeGi","Cornu","2022-06-28","45°53.071'","73°59.794'","18:10","Seine","S1","Lea",2,2
"CORN_S_04","LeGi","Cornu","2022-06-28","45°53.065'","73°59.760'","18:40","Seine","S1","Juliane",5,5
"CORR_N_01","LeGi","Corriveau","2022-06-15","45°58.677'","74°00.084'","15:10","Minnow_trap","N1","Juliane",3,3
"CORR_N_01","SeAt","Corriveau","2022-06-15","45°58.677'","74°00.084'","15:10","Minnow_trap","N1","Juliane",0,1
"CORR_N_02","Chrosomus sp.","Corriveau","2022-06-15","45°58.598'","73°59.954'","15:24","Minnow_trap","N2","Juliane",0,2
"CORR_N_02","LeGi","Corriveau","2022-06-15","45°58.598'","73°59.954'","15:24","Minnow_trap","N2","Juliane",2,2
"CORR_N_02","LuCo","Corriveau","2022-06-15","45°58.598'","73°59.954'","15:24","Minnow_trap","N2","Juliane",0,1
"CORR_N_02","SeAt","Corriveau","2022-06-15","45°58.598'","73°59.954'","15:24","Minnow_trap","N2","Juliane",0,4
"CORR_N_03","LeGi","Corriveau","2022-06-15","45°58.710'","73°59.984'","15:00","Minnow_trap","N3","Juliane",8,15
"CORR_N_03","LuCo","Corriveau","2022-06-15","45°58.710'","73°59.984'","15:00","Minnow_trap","N3","Juliane",0,11
"CORR_N_03","SeAt","Corriveau","2022-06-15","45°58.710'","73°59.984'","15:00","Minnow_trap","N3","Juliane",1,15
"CORR_N_04","LeGi","Corriveau","2022-06-15","45°58.661'","74°00.123'","15:12","Minnow_trap","N4","Juliane",3,3
"CORR_N_04","SeAt","Corriveau","2022-06-15","45°58.661'","74°00.123'","15:12","Minnow_trap","N4","Juliane",1,31
"CORR_N_05",NA,"Corriveau","2022-06-15","45°58.597'","74°00.015'","15:22","Minnow_trap","N5",NA,0,0
"CORR_N_06","LeGi","Corriveau","2022-06-15","45°58.606'","74°00.121'","15:19","Minnow_trap","N6","Juliane",1,1
"CORR_N_06","LuCo","Corriveau","2022-06-15","45°58.606'","74°00.121'","15:19","Minnow_trap","N6","Juliane",0,2
"CORR_N_06","SeAt","Corriveau","2022-06-15","45°58.606'","74°00.121'","15:19","Minnow_trap","N6","Juliane",0,3
"CORR_N_07",NA,"Corriveau","2022-06-15","45°58.687'","74°00.040'","15:07","Minnow_trap","N7",NA,0,0
"CORR_N_08","AmNe","Corriveau","2022-06-15","45°58.613'","74°00.152'","15:17","Minnow_trap","N8","Juliane",0,1
"CORR_N_08","LeGi","Corriveau","2022-06-15","45°58.613'","74°00.152'","15:17","Minnow_trap","N8","Juliane",17,17
"CORR_N_08","SeAt","Corriveau","2022-06-15","45°58.613'","74°00.152'","15:17","Minnow_trap","N8","Juliane",0,7
"CORR_N_09","LeGi","Corriveau","2022-06-15","45°58.702'","74°00.011'","15:03","Minnow_trap","N9","Juliane",16,16
"CORR_N_09","SeAt","Corriveau","2022-06-15","45°58.702'","74°00.011'","15:03","Minnow_trap","N9","Juliane",0,1
"CORR_N_10","LeGi","Corriveau","2022-06-15","45°58.597'","74°00.053'","15:21","Minnow_trap","N10","Juliane",19,19
"CORR_N_10","SeAt","Corriveau","2022-06-15","45°58.597'","74°00.053'","15:21","Minnow_trap","N10","Juliane",0,12
"CORR_N_11","LeGi","Corriveau","2022-06-15","45°58.695'","74°00.021'","15:05","Minnow_trap","N11","Juliane",10,10
"CORR_N_11","SeAt","Corriveau","2022-06-15","45°58.695'","74°00.021'","15:05","Minnow_trap","N11","Juliane",0,1
"CORR_N_12","LeGi","Corriveau","2022-06-15","45°58.650'","74°00.173'","15:15","Minnow_trap","N12","Juliane",4,4
"CORR_N_12","SeAt","Corriveau","2022-06-15","45°58.650'","74°00.173'","15:15","Minnow_trap","N12","Juliane",0,6
"CORR_N_13","LeGi","Corriveau","2022-06-15","45°58.669'","73°59.938'","15:30","Minnow_trap","N13","Juliane",10,10
"CORR_N_13","SeAt","Corriveau","2022-06-15","45°58.669'","73°59.938'","15:30","Minnow_trap","N13","Juliane",0,9
"CORR_N_14","LeGi","Corriveau","2022-06-15","45°58.624'","74°00.182'","15:16","Minnow_trap","N14","Juliane",8,8
"CORR_N_14","LuCo","Corriveau","2022-06-15","45°58.624'","74°00.182'","15:16","Minnow_trap","N14","Juliane",0,1
"CORR_N_14","SeAt","Corriveau","2022-06-15","45°58.624'","74°00.182'","15:16","Minnow_trap","N14","Juliane",0,33
"CORR_N_15","AmNe","Corriveau","2022-06-15","45°58.626'","73°59.965'","15:26","Minnow_trap","N15","Juliane",0,1
"CORR_N_15","Chrosomus sp.","Corriveau","2022-06-15","45°58.626'","73°59.965'","15:26","Minnow_trap","N15","Juliane",0,1
"CORR_N_15","LuCo","Corriveau","2022-06-15","45°58.626'","73°59.965'","15:26","Minnow_trap","N15","Juliane",0,3
"CORR_N_15","SeAt","Corriveau","2022-06-15","45°58.626'","73°59.965'","15:26","Minnow_trap","N15","Juliane",0,29
"CORR_S_01","LeGi","Corriveau","2022-06-15","45°58.720'","73°59.952'","10:00","Seine","S1","Charles",2,2
"CORR_S_01","LuCo","Corriveau","2022-06-15","45°58.720'","73°59.952'","10:00","Seine","S1","Charles",0,263
"CORR_S_01","SeAt","Corriveau","2022-06-15","45°58.720'","73°59.952'","10:00","Seine","S1","Charles",0,3
"CORR_S_02","CaCo","Corriveau","2022-06-15","45°58.696'","74°00.027'","11:00","Seine","S1","Charles",0,2
"CORR_S_02","LeGi","Corriveau","2022-06-15","45°58.696'","74°00.027'","11:00","Seine","S1","Charles",16,16
"CORR_S_02","LuCo","Corriveau","2022-06-15","45°58.696'","74°00.027'","11:00","Seine","S1","Charles",0,36
"CORR_S_02","SeAt","Corriveau","2022-06-15","45°58.696'","74°00.027'","11:00","Seine","S1","Charles",3,6
"CORR_S_03","LeGi","Corriveau","2022-06-15","45°58.622' ","73°59.959'","13:32","Seine","S1","Charles",6,8
"CORR_S_03","LuCo","Corriveau","2022-06-15","45°58.622' ","73°59.959'","13:32","Seine","S1","Charles",0,1
"CORR_S_04","Cyprinidae","Corriveau","2022-06-15","45°58.650'","74°00.185'","13:50","Seine","S1","Charles",0,1
"CORR_S_04","LeGi","Corriveau","2022-06-15","45°58.650'","74°00.185'","13:50","Seine","S1","Charles",4,4
"CORR_S_04","LuCo","Corriveau","2022-06-15","45°58.650'","74°00.185'","13:50","Seine","S1","Charles",0,45
"CORR_S_04","SeAt","Corriveau","2022-06-15","45°58.650'","74°00.185'","13:50","Seine","S1","Charles",0,2
"CROC_N_01","LeGi","Croche","2022-07-22","45°59.562'","74°00.618'","17:15","Minnow_trap","N1","Lea",1,1
"CROC_N_01","SeAt","Croche","2022-07-22","45°59.562'","74°00.618'","17:15","Minnow_trap","N1","Lea",0,4
"CROC_N_02","LeGi","Croche","2022-07-22","45°59.502'","74°00.630'","17:30","Minnow_trap","N2","Lea",3,4
"CROC_N_02","PiPr","Croche","2022-07-22","45°59.502'","74°00.630'","17:30","Minnow_trap","N2","Lea",0,3
"CROC_N_02","SeAt","Croche","2022-07-22","45°59.502'","74°00.630'","17:30","Minnow_trap","N2","Lea",2,24
"CROC_N_03","SeAt","Croche","2022-07-22","45°59.403'","74°00.416'","16:57","Minnow_trap","N3","Lea",2,7
"CROC_N_04","SeAt","Croche","2022-07-22","45°59.407'","74°00.293'","16:43","Minnow_trap","N4","Lea",0,24
"CROC_N_05","LeGi","Croche","2022-07-22","45°59.545'","74°00.553'","16:40","Minnow_trap","N5","Lea",1,1
"CROC_N_05","SeAt","Croche","2022-07-22","45°59.545'","74°00.553'","16:40","Minnow_trap","N5","Lea",0,27
"CROC_N_06",NA,"Croche","2022-07-22","45°59.456'","74°00.745'","17:27","Minnow_trap","N6",NA,0,0
"CROC_N_07","AmNe","Croche","2022-07-22","45°59.568'","74°00.865'","17:21","Minnow_trap","N7","Lea",0,1
"CROC_N_07","LeGi","Croche","2022-07-22","45°59.568'","74°00.865'","17:21","Minnow_trap","N7","Lea",2,2
"CROC_N_07","SeAt","Croche","2022-07-22","45°59.568'","74°00.865'","17:21","Minnow_trap","N7","Lea",0,12
"CROC_N_09","SeAt","Croche","2022-07-22","45°59.367'","74°00.372'","17:48","Minnow_trap","N9","Lea",0,8
"CROC_N_11","LeGi","Croche","2022-07-22","45°59.623'","74°00.512'","17:13","Minnow_trap","N11","Lea",1,2
"CROC_N_11","SeAt","Croche","2022-07-22","45°59.623'","74°00.512'","17:13","Minnow_trap","N11","Lea",0,9
"CROC_N_12","PiPr","Croche","2022-07-22","45°59.662'","74°00.430'","17:08","Minnow_trap","N12","Lea",0,2
"CROC_N_12","SeAt","Croche","2022-07-22","45°59.662'","74°00.430'","17:08","Minnow_trap","N12","Lea",0,8
"CROC_N_13","LeGi","Croche","2022-07-22","45°59.445'","74°00.377'","17:00","Minnow_trap","N13","Lea",0,1
"CROC_N_13","SeAt","Croche","2022-07-22","45°59.445'","74°00.377'","17:00","Minnow_trap","N13","Lea",1,11
"CROC_N_14","SeAt","Croche","2022-07-22","45°59.559'","74°00.321'","17:36","Minnow_trap","N14","Lea",0,26
"CROC_N_15","LeGi","Croche","2022-07-22","45°59.450'","74°00.830'","17:25","Minnow_trap","N15","Lea",4,4
"CROC_N_16","LeGi","Croche","2022-07-22","45°59.504'","74°00.269'","17:38","Minnow_trap","N16","Lea",2,2
"CROC_N_16","SeAt","Croche","2022-07-22","45°59.504'","74°00.269'","17:38","Minnow_trap","N16","Lea",1,1
"CROC_N_17","AmNe","Croche","2022-07-22","45°59.583'","74°00.434'","17:04","Minnow_trap","N17","Lea",0,4
"CROC_N_17","SeAt","Croche","2022-07-22","45°59.583'","74°00.434'","17:04","Minnow_trap","N17","Lea",0,3
"CROC_S_01","LeGi","Croche","2022-07-22","45°59.410'","74°00.308'","13:39","Seine","S1","Lea",13,23
"CROC_S_02","Chrosomus sp.","Croche","2022-07-22","45°59.553'","74°00.238'","14:15","Seine","S1","Lea",0,1
"CROC_S_02","LeGi","Croche","2022-07-22","45°59.553'","74°00.238'","14:15","Seine","S1","Lea",1,2
"CROC_S_02","SeAt","Croche","2022-07-22","45°59.553'","74°00.238'","14:15","Seine","S1","Lea",0,1
"CROC_S_04","LeGi","Croche","2022-07-22","45°59.673'","74°00.448'","15:10","Seine","S1","Lea",1,1
"CROC_S_04","SeAt","Croche","2022-07-22","45°59.673'","74°00.448'","15:10","Seine","S1","Lea",0,3
"CROC_S_05","Chrosomus sp.","Croche","2022-07-22","45°59.545'","74°00.541'","16:08","Seine","S1","Lea",0,12
"CROC_S_05","LeGi","Croche","2022-07-22","45°59.545'","74°00.541'","16:08","Seine","S1","Lea",15,47
"CROM_N_01","AmNe","Cromwell","2022-06-27","45°59.300'","74°00.107'","16:08","Minnow_trap","N1","Lea",0,2
"CROM_N_01","LeGi","Cromwell","2022-06-27","45°59.300'","74°00.107'","16:08","Minnow_trap","N1","Lea",1,1
"CROM_N_01","LuCo","Cromwell","2022-06-27","45°59.300'","74°00.107'","16:08","Minnow_trap","N1","Lea",0,1
"CROM_N_02","AmNe","Cromwell","2022-06-27","45°59.284'","74°00.056'","16:12","Minnow_trap","N2","Lea",0,6
"CROM_N_03",NA,"Cromwell","2022-06-27","45°59.379'","73°59.960'","16:34","Minnow_trap","N3",NA,0,0
"CROM_N_04","AmNe","Cromwell","2022-06-27","45°59.390'","73°59.881'","16:32","Minnow_trap","N4","Lea",0,4
"CROM_N_05","LeGi","Cromwell","2022-06-27","45°59.348'","74°00.071'","16:38","Minnow_trap","N5","Lea",1,1
"CROM_N_06","LeGi","Cromwell","2022-06-27","45°59.298'","73°59.946'","16:16","Minnow_trap","N6","Lea",1,1
"CROM_N_07",NA,"Cromwell","2022-06-27","45°59.368'","74°00.005'","16:37","Minnow_trap","N7",NA,0,0
"CROM_N_09","LeGi","Cromwell","2022-06-27","45°59.392'","73°59.847'","16:31","Minnow_trap","N9","Lea",3,3
"CROM_N_11","LeGi","Cromwell","2022-06-27","45°59.306'","73°59.793'","16:19","Minnow_trap","N11","Lea",9,9
"CROM_N_12","AmNe","Cromwell","2022-06-27","45°59.381'","73°59.919'","16:33","Minnow_trap","N12","Lea",0,1
"CROM_N_13",NA,"Cromwell","2022-06-27","45°59.307'","73°59.753'","16:26","Minnow_trap","N13",NA,0,0
"CROM_N_14","LeGi","Cromwell","2022-06-27","45°59.320'","73°59.854'","16:17","Minnow_trap","N14","Lea",7,7
"CROM_N_15","LeGi","Cromwell","2022-06-27","45°59.284'","74°00.009'","16:13","Minnow_trap","N15","Lea",3,3
"CROM_N_16","LeGi","Cromwell","2022-06-27","45°59.265'","73°59.763'","16:23","Minnow_trap","N16","Lea",6,6
"CROM_N_17","LeGi","Cromwell","2022-06-27","45°59.326'","74°00.094'","16:06","Minnow_trap","N17","Lea",1,1
"CROM_S_01","LeGi","Cromwell","2022-06-27","45°59.297'","73°59.742'","14:35","Seine","S1","Juliane",12,13
"CROM_S_01","LuCo","Cromwell","2022-06-27","45°59.297'","73°59.742'","14:35","Seine","S1","Juliane",0,25
"CROM_S_01","SeAt","Cromwell","2022-06-27","45°59.297'","73°59.742'","14:35","Seine","S1","Juliane",0,4
"CROM_S_02","Chrosomus sp.","Cromwell","2022-06-27","45°59.250'","73°59.784'","15:15","Seine","S1","Charles",0,1
"CROM_S_02","LeGi","Cromwell","2022-06-27","45°59.250'","73°59.784'","15:15","Seine","S1","Charles",6,8
"CROM_S_02","LuCo","Cromwell","2022-06-27","45°59.250'","73°59.784'","15:15","Seine","S1","Charles",0,1
"CROM_S_02","SeAt","Cromwell","2022-06-27","45°59.250'","73°59.784'","15:15","Seine","S1","Charles",0,1
"CROM_S_03","LeGi","Cromwell","2022-06-27","45°59.404'","73°59.816'","15:45","Seine","S1","Juliane",2,3
"CROM_S_03","LuCo","Cromwell","2022-06-27","45°59.404'","73°59.816'","15:45","Seine","S1","Juliane",0,38
"CROM_S_03","SeAt","Cromwell","2022-06-27","45°59.404'","73°59.816'","15:45","Seine","S1","Juliane",0,8
"CROM_S_04","LeGi","Cromwell","2022-06-27","45°59.277'","74°00.033'","16:58","Seine","S1","Lea",5,6
"CROM_S_04","LuCo","Cromwell","2022-06-27","45°59.277'","74°00.033'","16:58","Seine","S1","Lea",0,4
"CROM_S_04","SeAt","Cromwell","2022-06-27","45°59.277'","74°00.033'","16:58","Seine","S1","Lea",0,5
